citybuddy_commit=c5af89d5e07fa5a20f0a32b865557fbbbb08aabd
sut_commit=c5af89d5e07fa5a20f0a32b865557fbbbb08aabd
benchmark_harness_commit=c5af89d5e07fa5a20f0a32b865557fbbbb08aabd
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788587400	2026-09-05T05:50:00Z	citybuddy-bench-k6	0.51%	98.07MiB / 13.63GiB
1788587400	2026-09-05T05:50:00Z	citybuddy-bench-agent	3.02%	253MiB / 13.63GiB
1788587400	2026-09-05T05:50:00Z	citybuddy-bench-model	0.25%	38.36MiB / 13.63GiB
1788587400	2026-09-05T05:50:00Z	citybuddy-bench-auth	0.29%	241MiB / 13.63GiB
1788587400	2026-09-05T05:50:00Z	citybuddy-bench-commerce	0.10%	410.8MiB / 13.63GiB
1788587400	2026-09-05T05:50:00Z	citybuddy-bench-elasticsearch	0.45%	981.1MiB / 13.63GiB
1788587400	2026-09-05T05:50:00Z	citybuddy-mysql-1	2.41%	849.7MiB / 13.63GiB
1788587402	2026-09-05T05:50:02Z	citybuddy-bench-k6	0.40%	100.2MiB / 13.63GiB
1788587402	2026-09-05T05:50:02Z	citybuddy-bench-agent	2.26%	252.9MiB / 13.63GiB
1788587402	2026-09-05T05:50:02Z	citybuddy-bench-model	0.18%	38.36MiB / 13.63GiB
1788587402	2026-09-05T05:50:02Z	citybuddy-bench-auth	0.06%	241.1MiB / 13.63GiB
1788587402	2026-09-05T05:50:02Z	citybuddy-bench-commerce	0.10%	410.8MiB / 13.63GiB
1788587402	2026-09-05T05:50:02Z	citybuddy-bench-elasticsearch	0.17%	981.1MiB / 13.63GiB
1788587402	2026-09-05T05:50:02Z	citybuddy-mysql-1	1.95%	849.9MiB / 13.63GiB
1788587404	2026-09-05T05:50:04Z	citybuddy-bench-k6	0.44%	100.2MiB / 13.63GiB
1788587404	2026-09-05T05:50:04Z	citybuddy-bench-agent	2.28%	252.9MiB / 13.63GiB
1788587404	2026-09-05T05:50:04Z	citybuddy-bench-model	0.20%	38.36MiB / 13.63GiB
1788587404	2026-09-05T05:50:04Z	citybuddy-bench-auth	0.06%	241.1MiB / 13.63GiB
1788587404	2026-09-05T05:50:04Z	citybuddy-bench-commerce	0.58%	410.9MiB / 13.63GiB
1788587404	2026-09-05T05:50:04Z	citybuddy-bench-elasticsearch	0.20%	981.1MiB / 13.63GiB
1788587404	2026-09-05T05:50:04Z	citybuddy-mysql-1	1.85%	849.7MiB / 13.63GiB
1788587406	2026-09-05T05:50:06Z	citybuddy-bench-k6	0.45%	100.3MiB / 13.63GiB
1788587406	2026-09-05T05:50:06Z	citybuddy-bench-agent	2.18%	251.9MiB / 13.63GiB
1788587406	2026-09-05T05:50:06Z	citybuddy-bench-model	0.19%	38.36MiB / 13.63GiB
1788587406	2026-09-05T05:50:06Z	citybuddy-bench-auth	0.10%	241MiB / 13.63GiB
1788587406	2026-09-05T05:50:06Z	citybuddy-bench-commerce	0.11%	410.9MiB / 13.63GiB
1788587406	2026-09-05T05:50:06Z	citybuddy-bench-elasticsearch	0.20%	981.1MiB / 13.63GiB
1788587406	2026-09-05T05:50:06Z	citybuddy-mysql-1	1.86%	849.7MiB / 13.63GiB
1788587408	2026-09-05T05:50:08Z	citybuddy-bench-k6	0.45%	100.3MiB / 13.63GiB
1788587408	2026-09-05T05:50:08Z	citybuddy-bench-agent	2.26%	252MiB / 13.63GiB
1788587408	2026-09-05T05:50:08Z	citybuddy-bench-model	0.18%	38.36MiB / 13.63GiB
1788587408	2026-09-05T05:50:08Z	citybuddy-bench-auth	0.06%	241MiB / 13.63GiB
1788587408	2026-09-05T05:50:08Z	citybuddy-bench-commerce	0.12%	410.9MiB / 13.63GiB
1788587408	2026-09-05T05:50:08Z	citybuddy-bench-elasticsearch	0.17%	981.1MiB / 13.63GiB
1788587408	2026-09-05T05:50:08Z	citybuddy-mysql-1	1.80%	849.7MiB / 13.63GiB
1788587410	2026-09-05T05:50:10Z	citybuddy-bench-k6	0.44%	100.3MiB / 13.63GiB
1788587410	2026-09-05T05:50:10Z	citybuddy-bench-agent	2.33%	252MiB / 13.63GiB
1788587410	2026-09-05T05:50:10Z	citybuddy-bench-model	0.18%	38.36MiB / 13.63GiB
1788587410	2026-09-05T05:50:10Z	citybuddy-bench-auth	0.11%	241MiB / 13.63GiB
1788587410	2026-09-05T05:50:10Z	citybuddy-bench-commerce	0.12%	410.9MiB / 13.63GiB
1788587410	2026-09-05T05:50:10Z	citybuddy-bench-elasticsearch	0.22%	981.1MiB / 13.63GiB
1788587410	2026-09-05T05:50:10Z	citybuddy-mysql-1	1.90%	849.7MiB / 13.63GiB
1788587412	2026-09-05T05:50:12Z	citybuddy-bench-k6	0.43%	100.3MiB / 13.63GiB
1788587412	2026-09-05T05:50:12Z	citybuddy-bench-agent	2.22%	252MiB / 13.63GiB
1788587412	2026-09-05T05:50:12Z	citybuddy-bench-model	0.20%	38.36MiB / 13.63GiB
1788587412	2026-09-05T05:50:12Z	citybuddy-bench-auth	0.08%	241MiB / 13.63GiB
1788587412	2026-09-05T05:50:12Z	citybuddy-bench-commerce	0.16%	410.9MiB / 13.63GiB
1788587412	2026-09-05T05:50:12Z	citybuddy-bench-elasticsearch	0.61%	981.2MiB / 13.63GiB
1788587412	2026-09-05T05:50:12Z	citybuddy-mysql-1	1.87%	849.7MiB / 13.63GiB
1788587414	2026-09-05T05:50:14Z	citybuddy-bench-k6	0.41%	102.3MiB / 13.63GiB
1788587414	2026-09-05T05:50:14Z	citybuddy-bench-agent	2.27%	252.1MiB / 13.63GiB
1788587414	2026-09-05T05:50:14Z	citybuddy-bench-model	0.20%	38.36MiB / 13.63GiB
1788587414	2026-09-05T05:50:14Z	citybuddy-bench-auth	0.10%	241MiB / 13.63GiB
1788587414	2026-09-05T05:50:14Z	citybuddy-bench-commerce	0.74%	411MiB / 13.63GiB
1788587414	2026-09-05T05:50:14Z	citybuddy-bench-elasticsearch	0.36%	981.2MiB / 13.63GiB
1788587414	2026-09-05T05:50:14Z	citybuddy-mysql-1	2.01%	849.7MiB / 13.63GiB
