citybuddy_commit=c5af89d5e07fa5a20f0a32b865557fbbbb08aabd
sut_commit=c5af89d5e07fa5a20f0a32b865557fbbbb08aabd
benchmark_harness_commit=c5af89d5e07fa5a20f0a32b865557fbbbb08aabd
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788586772	2026-09-05T05:39:32Z	citybuddy-bench-k6	0.51%	82.44MiB / 13.63GiB
1788586772	2026-09-05T05:39:32Z	citybuddy-bench-agent	5.56%	253.4MiB / 13.63GiB
1788586772	2026-09-05T05:39:32Z	citybuddy-bench-model	0.58%	38.36MiB / 13.63GiB
1788586772	2026-09-05T05:39:32Z	citybuddy-bench-auth	0.11%	241.2MiB / 13.63GiB
1788586772	2026-09-05T05:39:32Z	citybuddy-bench-commerce	0.15%	358.5MiB / 13.63GiB
1788586772	2026-09-05T05:39:32Z	citybuddy-bench-elasticsearch	15.84%	985.9MiB / 13.63GiB
1788586772	2026-09-05T05:39:32Z	citybuddy-mysql-1	6.78%	721.5MiB / 13.63GiB
1788586774	2026-09-05T05:39:34Z	citybuddy-bench-k6	0.43%	84.51MiB / 13.63GiB
1788586774	2026-09-05T05:39:34Z	citybuddy-bench-agent	4.50%	253.1MiB / 13.63GiB
1788586774	2026-09-05T05:39:34Z	citybuddy-bench-model	0.46%	38.36MiB / 13.63GiB
1788586774	2026-09-05T05:39:34Z	citybuddy-bench-auth	0.09%	241.2MiB / 13.63GiB
1788586774	2026-09-05T05:39:34Z	citybuddy-bench-commerce	0.76%	358.5MiB / 13.63GiB
1788586774	2026-09-05T05:39:34Z	citybuddy-bench-elasticsearch	12.47%	987.7MiB / 13.63GiB
1788586774	2026-09-05T05:39:34Z	citybuddy-mysql-1	2.86%	721.6MiB / 13.63GiB
1788586776	2026-09-05T05:39:36Z	citybuddy-bench-k6	0.48%	84.55MiB / 13.63GiB
1788586776	2026-09-05T05:39:36Z	citybuddy-bench-agent	4.47%	253.1MiB / 13.63GiB
1788586776	2026-09-05T05:39:36Z	citybuddy-bench-model	0.47%	38.35MiB / 13.63GiB
1788586776	2026-09-05T05:39:36Z	citybuddy-bench-auth	0.06%	241.2MiB / 13.63GiB
1788586776	2026-09-05T05:39:36Z	citybuddy-bench-commerce	0.07%	358.5MiB / 13.63GiB
1788586776	2026-09-05T05:39:36Z	citybuddy-bench-elasticsearch	10.81%	989.2MiB / 13.63GiB
1788586776	2026-09-05T05:39:36Z	citybuddy-mysql-1	2.63%	721.6MiB / 13.63GiB
1788586778	2026-09-05T05:39:38Z	citybuddy-bench-k6	0.47%	84.56MiB / 13.63GiB
1788586778	2026-09-05T05:39:38Z	citybuddy-bench-agent	4.53%	253.2MiB / 13.63GiB
1788586778	2026-09-05T05:39:38Z	citybuddy-bench-model	0.45%	38.35MiB / 13.63GiB
1788586778	2026-09-05T05:39:38Z	citybuddy-bench-auth	0.06%	241.2MiB / 13.63GiB
1788586778	2026-09-05T05:39:38Z	citybuddy-bench-commerce	0.09%	358.5MiB / 13.63GiB
1788586778	2026-09-05T05:39:38Z	citybuddy-bench-elasticsearch	11.10%	990.9MiB / 13.63GiB
1788586778	2026-09-05T05:39:38Z	citybuddy-mysql-1	2.82%	721.6MiB / 13.63GiB
1788586780	2026-09-05T05:39:40Z	citybuddy-bench-k6	0.46%	86.88MiB / 13.63GiB
1788586780	2026-09-05T05:39:40Z	citybuddy-bench-agent	4.51%	253.2MiB / 13.63GiB
1788586780	2026-09-05T05:39:40Z	citybuddy-bench-model	0.47%	38.35MiB / 13.63GiB
1788586780	2026-09-05T05:39:40Z	citybuddy-bench-auth	0.07%	241.2MiB / 13.63GiB
1788586780	2026-09-05T05:39:40Z	citybuddy-bench-commerce	0.07%	358.5MiB / 13.63GiB
1788586780	2026-09-05T05:39:40Z	citybuddy-bench-elasticsearch	7.95%	992.6MiB / 13.63GiB
1788586780	2026-09-05T05:39:40Z	citybuddy-mysql-1	2.77%	721.6MiB / 13.63GiB
1788586782	2026-09-05T05:39:42Z	citybuddy-bench-k6	0.51%	86.89MiB / 13.63GiB
1788586782	2026-09-05T05:39:42Z	citybuddy-bench-agent	4.62%	253.6MiB / 13.63GiB
1788586782	2026-09-05T05:39:42Z	citybuddy-bench-model	0.48%	38.35MiB / 13.63GiB
1788586782	2026-09-05T05:39:42Z	citybuddy-bench-auth	0.07%	241.2MiB / 13.63GiB
1788586782	2026-09-05T05:39:42Z	citybuddy-bench-commerce	0.11%	358.5MiB / 13.63GiB
1788586782	2026-09-05T05:39:42Z	citybuddy-bench-elasticsearch	15.42%	993.3MiB / 13.63GiB
1788586782	2026-09-05T05:39:42Z	citybuddy-mysql-1	2.88%	721.7MiB / 13.63GiB
1788586784	2026-09-05T05:39:44Z	citybuddy-bench-k6	0.47%	89.17MiB / 13.63GiB
1788586784	2026-09-05T05:39:44Z	citybuddy-bench-agent	4.45%	253.6MiB / 13.63GiB
1788586784	2026-09-05T05:39:44Z	citybuddy-bench-model	0.45%	38.36MiB / 13.63GiB
1788586784	2026-09-05T05:39:44Z	citybuddy-bench-auth	0.07%	241.2MiB / 13.63GiB
1788586784	2026-09-05T05:39:44Z	citybuddy-bench-commerce	0.64%	358.5MiB / 13.63GiB
1788586784	2026-09-05T05:39:44Z	citybuddy-bench-elasticsearch	4.83%	997.9MiB / 13.63GiB
1788586784	2026-09-05T05:39:44Z	citybuddy-mysql-1	2.76%	721.7MiB / 13.63GiB
1788586786	2026-09-05T05:39:46Z	citybuddy-bench-k6	0.46%	88.69MiB / 13.63GiB
1788586786	2026-09-05T05:39:46Z	citybuddy-bench-agent	4.80%	253.7MiB / 13.63GiB
1788586786	2026-09-05T05:39:46Z	citybuddy-bench-model	0.50%	38.36MiB / 13.63GiB
1788586786	2026-09-05T05:39:46Z	citybuddy-bench-auth	0.06%	241.2MiB / 13.63GiB
1788586786	2026-09-05T05:39:46Z	citybuddy-bench-commerce	0.29%	358.5MiB / 13.63GiB
1788586786	2026-09-05T05:39:46Z	citybuddy-bench-elasticsearch	10.59%	1011MiB / 13.63GiB
1788586786	2026-09-05T05:39:46Z	citybuddy-mysql-1	2.92%	721.9MiB / 13.63GiB
1788586788	2026-09-05T05:39:48Z	citybuddy-bench-k6	0.43%	90.7MiB / 13.63GiB
1788586788	2026-09-05T05:39:48Z	citybuddy-bench-agent	4.71%	253.5MiB / 13.63GiB
1788586788	2026-09-05T05:39:48Z	citybuddy-bench-model	0.51%	38.36MiB / 13.63GiB
1788586788	2026-09-05T05:39:48Z	citybuddy-bench-auth	0.20%	241.3MiB / 13.63GiB
1788586788	2026-09-05T05:39:48Z	citybuddy-bench-commerce	0.08%	358.5MiB / 13.63GiB
1788586788	2026-09-05T05:39:48Z	citybuddy-bench-elasticsearch	7.37%	1011MiB / 13.63GiB
1788586788	2026-09-05T05:39:48Z	citybuddy-mysql-1	3.02%	721.7MiB / 13.63GiB
1788586791	2026-09-05T05:39:51Z	citybuddy-bench-k6	0.43%	90.72MiB / 13.63GiB
1788586791	2026-09-05T05:39:51Z	citybuddy-bench-agent	4.55%	253.6MiB / 13.63GiB
1788586791	2026-09-05T05:39:51Z	citybuddy-bench-model	0.46%	38.35MiB / 13.63GiB
1788586791	2026-09-05T05:39:51Z	citybuddy-bench-auth	0.06%	241.3MiB / 13.63GiB
1788586791	2026-09-05T05:39:51Z	citybuddy-bench-commerce	0.07%	358.5MiB / 13.63GiB
1788586791	2026-09-05T05:39:51Z	citybuddy-bench-elasticsearch	5.76%	1012MiB / 13.63GiB
1788586791	2026-09-05T05:39:51Z	citybuddy-mysql-1	2.89%	721.7MiB / 13.63GiB
1788586793	2026-09-05T05:39:53Z	citybuddy-bench-k6	0.47%	92.74MiB / 13.63GiB
1788586793	2026-09-05T05:39:53Z	citybuddy-bench-agent	4.46%	253.6MiB / 13.63GiB
1788586793	2026-09-05T05:39:53Z	citybuddy-bench-model	0.48%	38.35MiB / 13.63GiB
1788586793	2026-09-05T05:39:53Z	citybuddy-bench-auth	0.14%	241.3MiB / 13.63GiB
