citybuddy_commit=c5af89d5e07fa5a20f0a32b865557fbbbb08aabd
sut_commit=c5af89d5e07fa5a20f0a32b865557fbbbb08aabd
benchmark_harness_commit=c5af89d5e07fa5a20f0a32b865557fbbbb08aabd
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788588256	2026-09-05T06:04:16Z	citybuddy-bench-k6	0.58%	59.09MiB / 13.63GiB
1788588256	2026-09-05T06:04:16Z	citybuddy-bench-agent	3.83%	252MiB / 13.63GiB
1788588256	2026-09-05T06:04:16Z	citybuddy-bench-model	0.25%	38.34MiB / 13.63GiB
1788588256	2026-09-05T06:04:16Z	citybuddy-bench-auth	4.60%	229.6MiB / 13.63GiB
1788588256	2026-09-05T06:04:16Z	citybuddy-bench-commerce	2.23%	425.9MiB / 13.63GiB
1788588256	2026-09-05T06:04:16Z	citybuddy-bench-elasticsearch	0.35%	965.4MiB / 13.63GiB
1788588256	2026-09-05T06:04:16Z	citybuddy-mysql-1	5.30%	921MiB / 13.63GiB
1788588258	2026-09-05T06:04:18Z	citybuddy-bench-k6	0.44%	59.15MiB / 13.63GiB
1788588258	2026-09-05T06:04:18Z	citybuddy-bench-agent	3.18%	252.1MiB / 13.63GiB
1788588258	2026-09-05T06:04:18Z	citybuddy-bench-model	0.20%	38.34MiB / 13.63GiB
1788588258	2026-09-05T06:04:18Z	citybuddy-bench-auth	5.81%	229.9MiB / 13.63GiB
1788588258	2026-09-05T06:04:18Z	citybuddy-bench-commerce	2.67%	426.1MiB / 13.63GiB
1788588258	2026-09-05T06:04:18Z	citybuddy-bench-elasticsearch	0.24%	965.4MiB / 13.63GiB
1788588258	2026-09-05T06:04:18Z	citybuddy-mysql-1	4.39%	921.1MiB / 13.63GiB
1788588260	2026-09-05T06:04:20Z	citybuddy-bench-k6	0.44%	59.18MiB / 13.63GiB
1788588260	2026-09-05T06:04:20Z	citybuddy-bench-agent	3.14%	252.2MiB / 13.63GiB
1788588260	2026-09-05T06:04:20Z	citybuddy-bench-model	0.21%	38.34MiB / 13.63GiB
1788588260	2026-09-05T06:04:20Z	citybuddy-bench-auth	2.06%	230MiB / 13.63GiB
1788588260	2026-09-05T06:04:20Z	citybuddy-bench-commerce	2.08%	426.2MiB / 13.63GiB
1788588260	2026-09-05T06:04:20Z	citybuddy-bench-elasticsearch	0.29%	965.7MiB / 13.63GiB
1788588260	2026-09-05T06:04:20Z	citybuddy-mysql-1	4.22%	921.1MiB / 13.63GiB
1788588262	2026-09-05T06:04:22Z	citybuddy-bench-k6	0.48%	59.18MiB / 13.63GiB
1788588262	2026-09-05T06:04:22Z	citybuddy-bench-agent	3.22%	252.2MiB / 13.63GiB
1788588262	2026-09-05T06:04:22Z	citybuddy-bench-model	0.21%	38.34MiB / 13.63GiB
1788588262	2026-09-05T06:04:22Z	citybuddy-bench-auth	3.16%	230.1MiB / 13.63GiB
1788588262	2026-09-05T06:04:22Z	citybuddy-bench-commerce	1.61%	426.3MiB / 13.63GiB
