citybuddy_commit=9157b91cf67f41e910b04c2a4e6fd75e204acdd4
sut_commit=9157b91cf67f41e910b04c2a4e6fd75e204acdd4
benchmark_harness_commit=9157b91cf67f41e910b04c2a4e6fd75e204acdd4
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788372744	2026-09-02T18:12:24Z	citybuddy-bench-k6	1.07%	53.41MiB / 13.63GiB
1788372744	2026-09-02T18:12:24Z	citybuddy-bench-agent	3.77%	58.54MiB / 13.63GiB
1788372744	2026-09-02T18:12:24Z	citybuddy-bench-model	0.31%	38.35MiB / 13.63GiB
1788372744	2026-09-02T18:12:24Z	citybuddy-bench-auth	8.54%	302.4MiB / 13.63GiB
1788372744	2026-09-02T18:12:24Z	citybuddy-bench-commerce	3.05%	389.7MiB / 13.63GiB
1788372744	2026-09-02T18:12:24Z	citybuddy-bench-elasticsearch	0.50%	979.3MiB / 13.63GiB
1788372744	2026-09-02T18:12:24Z	citybuddy-mysql-1	7.30%	976.2MiB / 13.63GiB
1788372746	2026-09-02T18:12:26Z	citybuddy-bench-k6	0.72%	53.21MiB / 13.63GiB
1788372746	2026-09-02T18:12:26Z	citybuddy-bench-agent	5.36%	58.64MiB / 13.63GiB
1788372746	2026-09-02T18:12:26Z	citybuddy-bench-model	0.43%	38.35MiB / 13.63GiB
1788372746	2026-09-02T18:12:26Z	citybuddy-bench-auth	9.16%	302.7MiB / 13.63GiB
1788372746	2026-09-02T18:12:26Z	citybuddy-bench-commerce	3.05%	389.8MiB / 13.63GiB
1788372746	2026-09-02T18:12:26Z	citybuddy-bench-elasticsearch	0.48%	979.3MiB / 13.63GiB
1788372746	2026-09-02T18:12:26Z	citybuddy-mysql-1	7.47%	976.5MiB / 13.63GiB
1788372748	2026-09-02T18:12:28Z	citybuddy-bench-k6	1.14%	53.25MiB / 13.63GiB
1788372748	2026-09-02T18:12:28Z	citybuddy-bench-agent	6.35%	58.66MiB / 13.63GiB
1788372748	2026-09-02T18:12:28Z	citybuddy-bench-model	0.47%	38.35MiB / 13.63GiB
1788372748	2026-09-02T18:12:28Z	citybuddy-bench-auth	5.08%	303.1MiB / 13.63GiB
1788372748	2026-09-02T18:12:28Z	citybuddy-bench-commerce	4.88%	389.8MiB / 13.63GiB
1788372748	2026-09-02T18:12:28Z	citybuddy-bench-elasticsearch	0.88%	979.3MiB / 13.63GiB
1788372748	2026-09-02T18:12:28Z	citybuddy-mysql-1	7.77%	976.5MiB / 13.63GiB
1788372750	2026-09-02T18:12:30Z	citybuddy-bench-k6	0.72%	53.26MiB / 13.63GiB
