citybuddy_commit=98d0b116cbe4c9c18faf6e1f205591b28605a64b
sut_commit=98d0b116cbe4c9c18faf6e1f205591b28605a64b
benchmark_harness_commit=98d0b116cbe4c9c18faf6e1f205591b28605a64b
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788371840	2026-09-02T17:57:20Z	citybuddy-bench-k6	0.41%	60.85MiB / 13.63GiB
1788371840	2026-09-02T17:57:20Z	citybuddy-bench-agent	3.00%	60.21MiB / 13.63GiB
1788371840	2026-09-02T17:57:20Z	citybuddy-bench-model	0.23%	39MiB / 13.63GiB
1788371840	2026-09-02T17:57:20Z	citybuddy-bench-auth	110.89%	298MiB / 13.63GiB
1788371840	2026-09-02T17:57:20Z	citybuddy-bench-commerce	2.91%	371.9MiB / 13.63GiB
1788371840	2026-09-02T17:57:20Z	citybuddy-bench-elasticsearch	0.23%	979.9MiB / 13.63GiB
1788371840	2026-09-02T17:57:20Z	citybuddy-mysql-1	3.40%	957.9MiB / 13.63GiB
1788371842	2026-09-02T17:57:22Z	citybuddy-bench-k6	0.44%	60.9MiB / 13.63GiB
1788371842	2026-09-02T17:57:22Z	citybuddy-bench-agent	3.12%	60.32MiB / 13.63GiB
1788371842	2026-09-02T17:57:22Z	citybuddy-bench-model	0.21%	39MiB / 13.63GiB
1788371842	2026-09-02T17:57:22Z	citybuddy-bench-auth	117.18%	298.4MiB / 13.63GiB
1788371842	2026-09-02T17:57:22Z	citybuddy-bench-commerce	1.95%	371.9MiB / 13.63GiB
1788371842	2026-09-02T17:57:22Z	citybuddy-bench-elasticsearch	0.26%	979.9MiB / 13.63GiB
1788371842	2026-09-02T17:57:22Z	citybuddy-mysql-1	3.37%	958.2MiB / 13.63GiB
1788371844	2026-09-02T17:57:24Z	citybuddy-bench-k6	0.40%	60.95MiB / 13.63GiB
1788371844	2026-09-02T17:57:24Z	citybuddy-bench-agent	2.86%	60.36MiB / 13.63GiB
1788371844	2026-09-02T17:57:24Z	citybuddy-bench-model	0.19%	39MiB / 13.63GiB
1788371844	2026-09-02T17:57:24Z	citybuddy-bench-auth	121.25%	298.6MiB / 13.63GiB
1788371844	2026-09-02T17:57:24Z	citybuddy-bench-commerce	2.74%	371.9MiB / 13.63GiB
1788371844	2026-09-02T17:57:24Z	citybuddy-bench-elasticsearch	0.22%	979.9MiB / 13.63GiB
1788371844	2026-09-02T17:57:24Z	citybuddy-mysql-1	3.09%	958.3MiB / 13.63GiB
1788371846	2026-09-02T17:57:26Z	citybuddy-bench-k6	0.39%	60.98MiB / 13.63GiB
1788371846	2026-09-02T17:57:26Z	citybuddy-bench-agent	3.02%	60.43MiB / 13.63GiB
1788371846	2026-09-02T17:57:26Z	citybuddy-bench-model	0.23%	39MiB / 13.63GiB
1788371846	2026-09-02T17:57:26Z	citybuddy-bench-auth	119.73%	299.1MiB / 13.63GiB
1788371846	2026-09-02T17:57:26Z	citybuddy-bench-commerce	1.01%	371.9MiB / 13.63GiB
1788371846	2026-09-02T17:57:26Z	citybuddy-bench-elasticsearch	0.23%	979.9MiB / 13.63GiB
1788371846	2026-09-02T17:57:26Z	citybuddy-mysql-1	2.92%	958.4MiB / 13.63GiB
1788371848	2026-09-02T17:57:28Z	citybuddy-bench-k6	0.39%	61MiB / 13.63GiB
1788371848	2026-09-02T17:57:28Z	citybuddy-bench-agent	2.73%	60.44MiB / 13.63GiB
1788371848	2026-09-02T17:57:28Z	citybuddy-bench-model	0.19%	39MiB / 13.63GiB
1788371848	2026-09-02T17:57:28Z	citybuddy-bench-auth	118.88%	299MiB / 13.63GiB
1788371848	2026-09-02T17:57:28Z	citybuddy-bench-commerce	2.02%	372MiB / 13.63GiB
1788371848	2026-09-02T17:57:28Z	citybuddy-bench-elasticsearch	0.22%	979.9MiB / 13.63GiB
1788371848	2026-09-02T17:57:28Z	citybuddy-mysql-1	3.00%	958.4MiB / 13.63GiB
1788371850	2026-09-02T17:57:30Z	citybuddy-bench-k6	0.45%	61MiB / 13.63GiB
1788371850	2026-09-02T17:57:30Z	citybuddy-bench-agent	3.35%	60.43MiB / 13.63GiB
1788371850	2026-09-02T17:57:30Z	citybuddy-bench-model	0.20%	39MiB / 13.63GiB
1788371850	2026-09-02T17:57:30Z	citybuddy-bench-auth	117.92%	299MiB / 13.63GiB
1788371850	2026-09-02T17:57:30Z	citybuddy-bench-commerce	2.21%	372MiB / 13.63GiB
1788371850	2026-09-02T17:57:30Z	citybuddy-bench-elasticsearch	0.26%	979.9MiB / 13.63GiB
1788371850	2026-09-02T17:57:30Z	citybuddy-mysql-1	4.05%	958.4MiB / 13.63GiB
1788371852	2026-09-02T17:57:32Z	citybuddy-bench-k6	1.37%	61.07MiB / 13.63GiB
1788371852	2026-09-02T17:57:32Z	citybuddy-bench-agent	3.09%	60.44MiB / 13.63GiB
1788371852	2026-09-02T17:57:32Z	citybuddy-bench-model	0.20%	39MiB / 13.63GiB
1788371852	2026-09-02T17:57:32Z	citybuddy-bench-auth	117.15%	299.1MiB / 13.63GiB
1788371852	2026-09-02T17:57:32Z	citybuddy-bench-commerce	7.58%	372.1MiB / 13.63GiB
1788371852	2026-09-02T17:57:32Z	citybuddy-bench-elasticsearch	0.35%	979.9MiB / 13.63GiB
1788371852	2026-09-02T17:57:32Z	citybuddy-mysql-1	3.60%	958.4MiB / 13.63GiB
1788371854	2026-09-02T17:57:34Z	citybuddy-bench-k6	0.39%	61.07MiB / 13.63GiB
1788371854	2026-09-02T17:57:34Z	citybuddy-bench-agent	2.72%	60.46MiB / 13.63GiB
1788371854	2026-09-02T17:57:34Z	citybuddy-bench-model	0.18%	39MiB / 13.63GiB
1788371854	2026-09-02T17:57:34Z	citybuddy-bench-auth	116.21%	299.2MiB / 13.63GiB
1788371854	2026-09-02T17:57:34Z	citybuddy-bench-commerce	1.14%	372.1MiB / 13.63GiB
1788371854	2026-09-02T17:57:34Z	citybuddy-bench-elasticsearch	0.53%	979.9MiB / 13.63GiB
1788371854	2026-09-02T17:57:34Z	citybuddy-mysql-1	2.96%	958.4MiB / 13.63GiB
1788371856	2026-09-02T17:57:36Z	citybuddy-bench-k6	0.50%	61.08MiB / 13.63GiB
1788371856	2026-09-02T17:57:36Z	citybuddy-bench-agent	3.31%	60.48MiB / 13.63GiB
1788371856	2026-09-02T17:57:36Z	citybuddy-bench-model	0.24%	39MiB / 13.63GiB
1788371856	2026-09-02T17:57:36Z	citybuddy-bench-auth	118.44%	302MiB / 13.63GiB
1788371856	2026-09-02T17:57:36Z	citybuddy-bench-commerce	1.29%	372.1MiB / 13.63GiB
1788371856	2026-09-02T17:57:36Z	citybuddy-bench-elasticsearch	0.43%	979.9MiB / 13.63GiB
1788371856	2026-09-02T17:57:36Z	citybuddy-mysql-1	3.70%	958.4MiB / 13.63GiB
1788371858	2026-09-02T17:57:38Z	citybuddy-bench-k6	0.50%	61.33MiB / 13.63GiB
1788371858	2026-09-02T17:57:38Z	citybuddy-bench-agent	3.70%	60.48MiB / 13.63GiB
1788371858	2026-09-02T17:57:38Z	citybuddy-bench-model	0.26%	39MiB / 13.63GiB
1788371858	2026-09-02T17:57:38Z	citybuddy-bench-auth	119.33%	303.5MiB / 13.63GiB
1788371858	2026-09-02T17:57:38Z	citybuddy-bench-commerce	1.68%	372.1MiB / 13.63GiB
1788371858	2026-09-02T17:57:38Z	citybuddy-bench-elasticsearch	0.33%	979.9MiB / 13.63GiB
1788371858	2026-09-02T17:57:38Z	citybuddy-mysql-1	4.19%	958.4MiB / 13.63GiB
1788371860	2026-09-02T17:57:40Z	citybuddy-bench-k6	0.36%	61.09MiB / 13.63GiB
1788371860	2026-09-02T17:57:40Z	citybuddy-bench-agent	2.59%	60.5MiB / 13.63GiB
1788371860	2026-09-02T17:57:40Z	citybuddy-bench-model	0.18%	39MiB / 13.63GiB
1788371860	2026-09-02T17:57:40Z	citybuddy-bench-auth	115.59%	300.2MiB / 13.63GiB
1788371860	2026-09-02T17:57:40Z	citybuddy-bench-commerce	1.13%	372.1MiB / 13.63GiB
1788371860	2026-09-02T17:57:40Z	citybuddy-bench-elasticsearch	0.17%	979.9MiB / 13.63GiB
1788371860	2026-09-02T17:57:40Z	citybuddy-mysql-1	3.15%	958.4MiB / 13.63GiB
1788371862	2026-09-02T17:57:42Z	citybuddy-bench-k6	0.44%	61.09MiB / 13.63GiB
1788371862	2026-09-02T17:57:42Z	citybuddy-bench-agent	2.92%	60.52MiB / 13.63GiB
1788371862	2026-09-02T17:57:42Z	citybuddy-bench-model	0.19%	39MiB / 13.63GiB
1788371862	2026-09-02T17:57:42Z	citybuddy-bench-auth	116.59%	300.3MiB / 13.63GiB
1788371862	2026-09-02T17:57:42Z	citybuddy-bench-commerce	2.57%	372.2MiB / 13.63GiB
1788371862	2026-09-02T17:57:42Z	citybuddy-bench-elasticsearch	1.20%	979.9MiB / 13.63GiB
1788371862	2026-09-02T17:57:42Z	citybuddy-mysql-1	3.35%	958.4MiB / 13.63GiB
1788371864	2026-09-02T17:57:44Z	citybuddy-bench-k6	0.50%	61.09MiB / 13.63GiB
1788371864	2026-09-02T17:57:44Z	citybuddy-bench-agent	3.63%	60.77MiB / 13.63GiB
1788371864	2026-09-02T17:57:44Z	citybuddy-bench-model	0.25%	39MiB / 13.63GiB
1788371864	2026-09-02T17:57:44Z	citybuddy-bench-auth	118.47%	300.2MiB / 13.63GiB
1788371864	2026-09-02T17:57:44Z	citybuddy-bench-commerce	2.13%	372.3MiB / 13.63GiB
1788371864	2026-09-02T17:57:44Z	citybuddy-bench-elasticsearch	0.32%	979.9MiB / 13.63GiB
1788371864	2026-09-02T17:57:44Z	citybuddy-mysql-1	4.33%	958.5MiB / 13.63GiB
1788371866	2026-09-02T17:57:46Z	citybuddy-bench-k6	0.37%	61.35MiB / 13.63GiB
1788371866	2026-09-02T17:57:46Z	citybuddy-bench-agent	2.66%	60.54MiB / 13.63GiB
1788371866	2026-09-02T17:57:46Z	citybuddy-bench-model	0.18%	39MiB / 13.63GiB
1788371866	2026-09-02T17:57:46Z	citybuddy-bench-auth	115.43%	300.2MiB / 13.63GiB
1788371866	2026-09-02T17:57:46Z	citybuddy-bench-commerce	0.93%	372.3MiB / 13.63GiB
1788371866	2026-09-02T17:57:46Z	citybuddy-bench-elasticsearch	0.29%	979.9MiB / 13.63GiB
1788371866	2026-09-02T17:57:46Z	citybuddy-mysql-1	2.86%	958.5MiB / 13.63GiB
1788371868	2026-09-02T17:57:48Z	citybuddy-bench-k6	0.36%	61.1MiB / 13.63GiB
1788371868	2026-09-02T17:57:48Z	citybuddy-bench-agent	2.28%	60.55MiB / 13.63GiB
1788371868	2026-09-02T17:57:48Z	citybuddy-bench-model	0.16%	39MiB / 13.63GiB
1788371868	2026-09-02T17:57:48Z	citybuddy-bench-auth	105.37%	300.2MiB / 13.63GiB
1788371868	2026-09-02T17:57:48Z	citybuddy-bench-commerce	1.14%	372.3MiB / 13.63GiB
1788371868	2026-09-02T17:57:48Z	citybuddy-bench-elasticsearch	0.18%	979.9MiB / 13.63GiB
1788371868	2026-09-02T17:57:48Z	citybuddy-mysql-1	2.71%	958.5MiB / 13.63GiB
1788371870	2026-09-02T17:57:50Z	citybuddy-bench-k6	0.35%	61.06MiB / 13.63GiB
1788371870	2026-09-02T17:57:50Z	citybuddy-bench-agent	0.25%	60.51MiB / 13.63GiB
1788371870	2026-09-02T17:57:50Z	citybuddy-bench-model	0.15%	39MiB / 13.63GiB
1788371870	2026-09-02T17:57:50Z	citybuddy-bench-auth	0.12%	300.2MiB / 13.63GiB
1788371870	2026-09-02T17:57:50Z	citybuddy-bench-commerce	0.16%	372.3MiB / 13.63GiB
1788371870	2026-09-02T17:57:50Z	citybuddy-bench-elasticsearch	0.71%	979.9MiB / 13.63GiB
1788371870	2026-09-02T17:57:50Z	citybuddy-mysql-1	0.32%	958.5MiB / 13.63GiB
1788371872	2026-09-02T17:57:52Z	citybuddy-bench-k6	0.50%	61.27MiB / 13.63GiB
1788371872	2026-09-02T17:57:52Z	citybuddy-bench-agent	0.33%	60.48MiB / 13.63GiB
1788371872	2026-09-02T17:57:52Z	citybuddy-bench-model	0.19%	39MiB / 13.63GiB
1788371872	2026-09-02T17:57:52Z	citybuddy-bench-auth	0.24%	300.2MiB / 13.63GiB
1788371872	2026-09-02T17:57:52Z	citybuddy-bench-commerce	0.68%	372.3MiB / 13.63GiB
1788371872	2026-09-02T17:57:52Z	citybuddy-bench-elasticsearch	0.70%	979.9MiB / 13.63GiB
1788371872	2026-09-02T17:57:52Z	citybuddy-mysql-1	0.40%	958.5MiB / 13.63GiB
1788371874	2026-09-02T17:57:54Z	citybuddy-bench-k6	0.27%	61.01MiB / 13.63GiB
1788371874	2026-09-02T17:57:54Z	citybuddy-bench-agent	0.13%	60.46MiB / 13.63GiB
1788371874	2026-09-02T17:57:54Z	citybuddy-bench-model	0.14%	38.99MiB / 13.63GiB
1788371874	2026-09-02T17:57:54Z	citybuddy-bench-auth	0.52%	300.2MiB / 13.63GiB
1788371874	2026-09-02T17:57:54Z	citybuddy-bench-commerce	0.22%	372.3MiB / 13.63GiB
1788371874	2026-09-02T17:57:54Z	citybuddy-bench-elasticsearch	3.49%	980MiB / 13.63GiB
1788371874	2026-09-02T17:57:54Z	citybuddy-mysql-1	0.53%	958.5MiB / 13.63GiB
1788371876	2026-09-02T17:57:56Z	citybuddy-bench-k6	0.31%	61.12MiB / 13.63GiB
1788371876	2026-09-02T17:57:56Z	citybuddy-bench-agent	0.13%	60.46MiB / 13.63GiB
1788371876	2026-09-02T17:57:56Z	citybuddy-bench-model	0.12%	38.99MiB / 13.63GiB
1788371876	2026-09-02T17:57:56Z	citybuddy-bench-auth	0.16%	300.2MiB / 13.63GiB
1788371876	2026-09-02T17:57:56Z	citybuddy-bench-commerce	0.16%	372.3MiB / 13.63GiB
1788371876	2026-09-02T17:57:56Z	citybuddy-bench-elasticsearch	2.06%	980MiB / 13.63GiB
1788371876	2026-09-02T17:57:56Z	citybuddy-mysql-1	1.26%	958.5MiB / 13.63GiB
1788371878	2026-09-02T17:57:58Z	citybuddy-bench-k6	0.40%	61.17MiB / 13.63GiB
1788371878	2026-09-02T17:57:58Z	citybuddy-bench-agent	0.22%	60.41MiB / 13.63GiB
1788371878	2026-09-02T17:57:58Z	citybuddy-bench-model	0.27%	38.99MiB / 13.63GiB
1788371878	2026-09-02T17:57:58Z	citybuddy-bench-auth	0.32%	300.2MiB / 13.63GiB
1788371878	2026-09-02T17:57:58Z	citybuddy-bench-commerce	3.14%	372.3MiB / 13.63GiB
1788371878	2026-09-02T17:57:58Z	citybuddy-bench-elasticsearch	0.76%	980MiB / 13.63GiB
1788371878	2026-09-02T17:57:58Z	citybuddy-mysql-1	3.16%	958.5MiB / 13.63GiB
1788371880	2026-09-02T17:58:00Z	citybuddy-bench-k6	0.38%	61.18MiB / 13.63GiB
1788371880	2026-09-02T17:58:00Z	citybuddy-bench-agent	0.19%	60.41MiB / 13.63GiB
1788371880	2026-09-02T17:58:00Z	citybuddy-bench-model	0.21%	38.99MiB / 13.63GiB
1788371880	2026-09-02T17:58:00Z	citybuddy-bench-auth	0.42%	300.2MiB / 13.63GiB
1788371880	2026-09-02T17:58:00Z	citybuddy-bench-commerce	0.32%	372.3MiB / 13.63GiB
1788371880	2026-09-02T17:58:00Z	citybuddy-bench-elasticsearch	0.63%	980MiB / 13.63GiB
1788371880	2026-09-02T17:58:00Z	citybuddy-mysql-1	2.52%	958.5MiB / 13.63GiB
1788371882	2026-09-02T17:58:02Z	citybuddy-bench-k6	0.20%	61.19MiB / 13.63GiB
1788371882	2026-09-02T17:58:02Z	citybuddy-bench-agent	0.10%	60.31MiB / 13.63GiB
1788371882	2026-09-02T17:58:02Z	citybuddy-bench-model	0.12%	38.99MiB / 13.63GiB
1788371882	2026-09-02T17:58:02Z	citybuddy-bench-auth	0.10%	300.2MiB / 13.63GiB
1788371882	2026-09-02T17:58:02Z	citybuddy-bench-commerce	0.17%	372.3MiB / 13.63GiB
1788371882	2026-09-02T17:58:02Z	citybuddy-bench-elasticsearch	0.41%	980MiB / 13.63GiB
1788371882	2026-09-02T17:58:02Z	citybuddy-mysql-1	2.43%	958.5MiB / 13.63GiB
1788371884	2026-09-02T17:58:04Z	citybuddy-bench-k6	0.30%	61.19MiB / 13.63GiB
1788371884	2026-09-02T17:58:04Z	citybuddy-bench-agent	0.15%	60.31MiB / 13.63GiB
1788371884	2026-09-02T17:58:04Z	citybuddy-bench-model	0.17%	38.99MiB / 13.63GiB
1788371884	2026-09-02T17:58:04Z	citybuddy-bench-auth	0.38%	300.2MiB / 13.63GiB
1788371884	2026-09-02T17:58:04Z	citybuddy-bench-commerce	0.31%	372.3MiB / 13.63GiB
1788371884	2026-09-02T17:58:04Z	citybuddy-bench-elasticsearch	0.53%	980MiB / 13.63GiB
1788371884	2026-09-02T17:58:04Z	citybuddy-mysql-1	1.81%	958.5MiB / 13.63GiB
1788371886	2026-09-02T17:58:06Z	citybuddy-bench-k6	2.92%	63MiB / 13.63GiB
1788371886	2026-09-02T17:58:06Z	citybuddy-bench-agent	0.14%	60.25MiB / 13.63GiB
