citybuddy_commit=a4056f708aa83aa73346373bb9f4e463ae819635
sut_commit=a4056f708aa83aa73346373bb9f4e463ae819635
benchmark_harness_commit=a4056f708aa83aa73346373bb9f4e463ae819635
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788374726	2026-09-02T18:45:26Z	citybuddy-bench-k6	0.87%	52.84MiB / 13.63GiB
1788374726	2026-09-02T18:45:26Z	citybuddy-bench-agent	5.19%	58.91MiB / 13.63GiB
1788374726	2026-09-02T18:45:26Z	citybuddy-bench-model	0.42%	38.35MiB / 13.63GiB
1788374726	2026-09-02T18:45:26Z	citybuddy-bench-auth	12.10%	241.2MiB / 13.63GiB
1788374726	2026-09-02T18:45:26Z	citybuddy-bench-commerce	4.48%	405MiB / 13.63GiB
1788374726	2026-09-02T18:45:26Z	citybuddy-bench-elasticsearch	0.42%	997.1MiB / 13.63GiB
1788374726	2026-09-02T18:45:26Z	citybuddy-mysql-1	6.93%	1.002GiB / 13.63GiB
1788374728	2026-09-02T18:45:28Z	citybuddy-bench-k6	1.05%	52.91MiB / 13.63GiB
1788374728	2026-09-02T18:45:28Z	citybuddy-bench-agent	6.20%	58.49MiB / 13.63GiB
1788374728	2026-09-02T18:45:28Z	citybuddy-bench-model	0.40%	38.35MiB / 13.63GiB
1788374728	2026-09-02T18:45:28Z	citybuddy-bench-auth	4.81%	241.4MiB / 13.63GiB
1788374728	2026-09-02T18:45:28Z	citybuddy-bench-commerce	4.96%	405.2MiB / 13.63GiB
1788374728	2026-09-02T18:45:28Z	citybuddy-bench-elasticsearch	0.52%	997.1MiB / 13.63GiB
1788374728	2026-09-02T18:45:28Z	citybuddy-mysql-1	8.84%	1.002GiB / 13.63GiB
1788374730	2026-09-02T18:45:30Z	citybuddy-bench-k6	0.76%	52.96MiB / 13.63GiB
1788374730	2026-09-02T18:45:30Z	citybuddy-bench-agent	4.31%	58.52MiB / 13.63GiB
1788374730	2026-09-02T18:45:30Z	citybuddy-bench-model	0.31%	38.35MiB / 13.63GiB
1788374730	2026-09-02T18:45:30Z	citybuddy-bench-auth	1.74%	241.6MiB / 13.63GiB
1788374730	2026-09-02T18:45:30Z	citybuddy-bench-commerce	2.15%	405.3MiB / 13.63GiB
1788374730	2026-09-02T18:45:30Z	citybuddy-bench-elasticsearch	0.48%	997.1MiB / 13.63GiB
1788374730	2026-09-02T18:45:30Z	citybuddy-mysql-1	6.49%	1.002GiB / 13.63GiB
1788374732	2026-09-02T18:45:32Z	citybuddy-bench-k6	0.93%	52.97MiB / 13.63GiB
1788374732	2026-09-02T18:45:32Z	citybuddy-bench-agent	5.68%	58.51MiB / 13.63GiB
1788374732	2026-09-02T18:45:32Z	citybuddy-bench-model	0.42%	38.35MiB / 13.63GiB
1788374732	2026-09-02T18:45:32Z	citybuddy-bench-auth	4.99%	241.8MiB / 13.63GiB
1788374732	2026-09-02T18:45:32Z	citybuddy-bench-commerce	1.64%	405.4MiB / 13.63GiB
1788374732	2026-09-02T18:45:32Z	citybuddy-bench-elasticsearch	1.58%	997.1MiB / 13.63GiB
1788374732	2026-09-02T18:45:32Z	citybuddy-mysql-1	7.65%	1.002GiB / 13.63GiB
1788374734	2026-09-02T18:45:34Z	citybuddy-bench-k6	1.28%	52.98MiB / 13.63GiB
1788374734	2026-09-02T18:45:34Z	citybuddy-bench-agent	7.57%	58.52MiB / 13.63GiB
1788374734	2026-09-02T18:45:34Z	citybuddy-bench-model	0.53%	38.35MiB / 13.63GiB
1788374734	2026-09-02T18:45:34Z	citybuddy-bench-auth	3.94%	241.9MiB / 13.63GiB
1788374734	2026-09-02T18:45:34Z	citybuddy-bench-commerce	2.22%	405.4MiB / 13.63GiB
1788374734	2026-09-02T18:45:34Z	citybuddy-bench-elasticsearch	0.77%	997.1MiB / 13.63GiB
1788374734	2026-09-02T18:45:34Z	citybuddy-mysql-1	8.31%	1.002GiB / 13.63GiB
1788374736	2026-09-02T18:45:36Z	citybuddy-bench-k6	0.76%	52.98MiB / 13.63GiB
1788374736	2026-09-02T18:45:36Z	citybuddy-bench-agent	4.83%	58.54MiB / 13.63GiB
1788374736	2026-09-02T18:45:36Z	citybuddy-bench-model	0.36%	38.35MiB / 13.63GiB
1788374736	2026-09-02T18:45:36Z	citybuddy-bench-auth	3.22%	242.1MiB / 13.63GiB
1788374736	2026-09-02T18:45:36Z	citybuddy-bench-commerce	3.13%	405.5MiB / 13.63GiB
1788374736	2026-09-02T18:45:36Z	citybuddy-bench-elasticsearch	0.75%	997.1MiB / 13.63GiB
1788374736	2026-09-02T18:45:36Z	citybuddy-mysql-1	5.99%	1.006GiB / 13.63GiB
1788374738	2026-09-02T18:45:38Z	citybuddy-bench-k6	0.92%	52.98MiB / 13.63GiB
1788374738	2026-09-02T18:45:38Z	citybuddy-bench-agent	5.58%	58.55MiB / 13.63GiB
1788374738	2026-09-02T18:45:38Z	citybuddy-bench-model	0.40%	38.35MiB / 13.63GiB
1788374738	2026-09-02T18:45:38Z	citybuddy-bench-auth	1.69%	242.1MiB / 13.63GiB
1788374738	2026-09-02T18:45:38Z	citybuddy-bench-commerce	2.02%	405.6MiB / 13.63GiB
1788374738	2026-09-02T18:45:38Z	citybuddy-bench-elasticsearch	0.43%	997.1MiB / 13.63GiB
1788374738	2026-09-02T18:45:38Z	citybuddy-mysql-1	5.35%	1.002GiB / 13.63GiB
1788374740	2026-09-02T18:45:40Z	citybuddy-bench-k6	1.11%	55MiB / 13.63GiB
1788374740	2026-09-02T18:45:40Z	citybuddy-bench-agent	7.03%	58.56MiB / 13.63GiB
1788374740	2026-09-02T18:45:40Z	citybuddy-bench-model	0.53%	38.35MiB / 13.63GiB
1788374740	2026-09-02T18:45:40Z	citybuddy-bench-auth	2.19%	242.2MiB / 13.63GiB
1788374740	2026-09-02T18:45:40Z	citybuddy-bench-commerce	2.01%	405.7MiB / 13.63GiB
1788374740	2026-09-02T18:45:40Z	citybuddy-bench-elasticsearch	0.74%	997.1MiB / 13.63GiB
1788374740	2026-09-02T18:45:40Z	citybuddy-mysql-1	7.08%	1.002GiB / 13.63GiB
1788374742	2026-09-02T18:45:42Z	citybuddy-bench-k6	1.09%	55.02MiB / 13.63GiB
1788374742	2026-09-02T18:45:42Z	citybuddy-bench-agent	6.83%	58.58MiB / 13.63GiB
1788374742	2026-09-02T18:45:42Z	citybuddy-bench-model	0.49%	38.35MiB / 13.63GiB
1788374742	2026-09-02T18:45:42Z	citybuddy-bench-auth	3.94%	242.2MiB / 13.63GiB
1788374742	2026-09-02T18:45:42Z	citybuddy-bench-commerce	2.84%	405.7MiB / 13.63GiB
1788374742	2026-09-02T18:45:42Z	citybuddy-bench-elasticsearch	2.06%	997.2MiB / 13.63GiB
1788374742	2026-09-02T18:45:42Z	citybuddy-mysql-1	6.33%	1.002GiB / 13.63GiB
1788374744	2026-09-02T18:45:44Z	citybuddy-bench-k6	0.67%	55.02MiB / 13.63GiB
1788374744	2026-09-02T18:45:44Z	citybuddy-bench-agent	4.23%	58.59MiB / 13.63GiB
1788374744	2026-09-02T18:45:44Z	citybuddy-bench-model	0.34%	38.35MiB / 13.63GiB
1788374744	2026-09-02T18:45:44Z	citybuddy-bench-auth	2.58%	242.3MiB / 13.63GiB
1788374744	2026-09-02T18:45:44Z	citybuddy-bench-commerce	1.29%	405.7MiB / 13.63GiB
1788374744	2026-09-02T18:45:44Z	citybuddy-bench-elasticsearch	0.91%	997.3MiB / 13.63GiB
1788374744	2026-09-02T18:45:44Z	citybuddy-mysql-1	4.52%	1.002GiB / 13.63GiB
1788374746	2026-09-02T18:45:46Z	citybuddy-bench-k6	0.77%	57.03MiB / 13.63GiB
1788374746	2026-09-02T18:45:46Z	citybuddy-bench-agent	5.05%	58.61MiB / 13.63GiB
1788374746	2026-09-02T18:45:46Z	citybuddy-bench-model	0.36%	38.35MiB / 13.63GiB
1788374746	2026-09-02T18:45:46Z	citybuddy-bench-auth	4.38%	242.5MiB / 13.63GiB
1788374746	2026-09-02T18:45:46Z	citybuddy-bench-commerce	1.85%	405.7MiB / 13.63GiB
1788374746	2026-09-02T18:45:46Z	citybuddy-bench-elasticsearch	0.50%	997.3MiB / 13.63GiB
1788374746	2026-09-02T18:45:46Z	citybuddy-mysql-1	5.60%	1.002GiB / 13.63GiB
1788374748	2026-09-02T18:45:48Z	citybuddy-bench-k6	1.15%	57.03MiB / 13.63GiB
1788374748	2026-09-02T18:45:48Z	citybuddy-bench-agent	7.16%	58.64MiB / 13.63GiB
1788374748	2026-09-02T18:45:48Z	citybuddy-bench-model	0.53%	38.35MiB / 13.63GiB
1788374748	2026-09-02T18:45:48Z	citybuddy-bench-auth	4.03%	242.6MiB / 13.63GiB
1788374748	2026-09-02T18:45:48Z	citybuddy-bench-commerce	2.70%	405.8MiB / 13.63GiB
1788374748	2026-09-02T18:45:48Z	citybuddy-bench-elasticsearch	0.47%	997.3MiB / 13.63GiB
1788374748	2026-09-02T18:45:48Z	citybuddy-mysql-1	6.63%	1.002GiB / 13.63GiB
1788374750	2026-09-02T18:45:50Z	citybuddy-bench-k6	0.91%	59.06MiB / 13.63GiB
1788374750	2026-09-02T18:45:50Z	citybuddy-bench-agent	6.13%	58.63MiB / 13.63GiB
1788374750	2026-09-02T18:45:50Z	citybuddy-bench-model	0.43%	38.35MiB / 13.63GiB
1788374750	2026-09-02T18:45:50Z	citybuddy-bench-auth	3.37%	242.8MiB / 13.63GiB
1788374750	2026-09-02T18:45:50Z	citybuddy-bench-commerce	2.21%	406.1MiB / 13.63GiB
1788374750	2026-09-02T18:45:50Z	citybuddy-bench-elasticsearch	0.43%	997.3MiB / 13.63GiB
1788374750	2026-09-02T18:45:50Z	citybuddy-mysql-1	5.97%	1.002GiB / 13.63GiB
1788374752	2026-09-02T18:45:52Z	citybuddy-bench-k6	2.13%	61.14MiB / 13.63GiB
1788374752	2026-09-02T18:45:52Z	citybuddy-bench-agent	5.02%	58.64MiB / 13.63GiB
1788374752	2026-09-02T18:45:52Z	citybuddy-bench-model	0.35%	38.35MiB / 13.63GiB
1788374752	2026-09-02T18:45:52Z	citybuddy-bench-auth	1.43%	242.8MiB / 13.63GiB
1788374752	2026-09-02T18:45:52Z	citybuddy-bench-commerce	1.40%	406.2MiB / 13.63GiB
1788374752	2026-09-02T18:45:52Z	citybuddy-bench-elasticsearch	2.14%	997.3MiB / 13.63GiB
1788374752	2026-09-02T18:45:52Z	citybuddy-mysql-1	4.82%	1.002GiB / 13.63GiB
1788374754	2026-09-02T18:45:54Z	citybuddy-bench-k6	1.28%	61.15MiB / 13.63GiB
1788374754	2026-09-02T18:45:54Z	citybuddy-bench-agent	6.61%	58.66MiB / 13.63GiB
1788374754	2026-09-02T18:45:54Z	citybuddy-bench-model	0.49%	38.35MiB / 13.63GiB
1788374754	2026-09-02T18:45:54Z	citybuddy-bench-auth	3.11%	242.8MiB / 13.63GiB
1788374754	2026-09-02T18:45:54Z	citybuddy-bench-commerce	1.78%	406.1MiB / 13.63GiB
