citybuddy_commit=95252754313b59a08933c3121b7ed90ba269134c
sut_commit=95252754313b59a08933c3121b7ed90ba269134c
benchmark_harness_commit=95252754313b59a08933c3121b7ed90ba269134c
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788464486	2026-09-03T19:41:26Z	citybuddy-bench-k6	1.84%	82.74MiB / 13.63GiB
1788464486	2026-09-03T19:41:26Z	citybuddy-bench-agent	16.93%	58.67MiB / 13.63GiB
1788464486	2026-09-03T19:41:26Z	citybuddy-bench-model	0.96%	38.34MiB / 13.63GiB
1788464486	2026-09-03T19:41:26Z	citybuddy-bench-auth	22.54%	319.3MiB / 13.63GiB
1788464486	2026-09-03T19:41:26Z	citybuddy-bench-commerce	10.63%	380.8MiB / 13.63GiB
1788464486	2026-09-03T19:41:26Z	citybuddy-bench-elasticsearch	0.30%	986.8MiB / 13.63GiB
1788464486	2026-09-03T19:41:26Z	citybuddy-mysql-1	17.60%	722.8MiB / 13.63GiB
1788464488	2026-09-03T19:41:28Z	citybuddy-bench-k6	2.68%	82.92MiB / 13.63GiB
1788464488	2026-09-03T19:41:28Z	citybuddy-bench-agent	15.03%	58.77MiB / 13.63GiB
1788464488	2026-09-03T19:41:28Z	citybuddy-bench-model	0.91%	38.34MiB / 13.63GiB
1788464488	2026-09-03T19:41:28Z	citybuddy-bench-auth	32.21%	321.7MiB / 13.63GiB
1788464488	2026-09-03T19:41:28Z	citybuddy-bench-commerce	14.26%	382.8MiB / 13.63GiB
1788464488	2026-09-03T19:41:28Z	citybuddy-bench-elasticsearch	0.34%	986.8MiB / 13.63GiB
1788464488	2026-09-03T19:41:28Z	citybuddy-mysql-1	13.95%	722.4MiB / 13.63GiB
1788464490	2026-09-03T19:41:30Z	citybuddy-bench-k6	1.46%	82.95MiB / 13.63GiB
1788464490	2026-09-03T19:41:30Z	citybuddy-bench-agent	14.14%	58.89MiB / 13.63GiB
1788464490	2026-09-03T19:41:30Z	citybuddy-bench-model	0.89%	38.34MiB / 13.63GiB
1788464490	2026-09-03T19:41:30Z	citybuddy-bench-auth	11.39%	328.8MiB / 13.63GiB
1788464490	2026-09-03T19:41:30Z	citybuddy-bench-commerce	4.90%	383MiB / 13.63GiB
1788464490	2026-09-03T19:41:30Z	citybuddy-bench-elasticsearch	0.36%	987MiB / 13.63GiB
1788464490	2026-09-03T19:41:30Z	citybuddy-mysql-1	13.16%	722.7MiB / 13.63GiB
1788464492	2026-09-03T19:41:32Z	citybuddy-bench-k6	1.44%	82.95MiB / 13.63GiB
1788464492	2026-09-03T19:41:32Z	citybuddy-bench-agent	14.61%	59.47MiB / 13.63GiB
1788464492	2026-09-03T19:41:32Z	citybuddy-bench-model	0.93%	38.34MiB / 13.63GiB
1788464492	2026-09-03T19:41:32Z	citybuddy-bench-auth	24.77%	329.2MiB / 13.63GiB
1788464492	2026-09-03T19:41:32Z	citybuddy-bench-commerce	10.03%	380.6MiB / 13.63GiB
1788464492	2026-09-03T19:41:32Z	citybuddy-bench-elasticsearch	0.31%	987MiB / 13.63GiB
1788464492	2026-09-03T19:41:32Z	citybuddy-mysql-1	13.64%	722.8MiB / 13.63GiB
1788464494	2026-09-03T19:41:34Z	citybuddy-bench-k6	1.35%	82.98MiB / 13.63GiB
