citybuddy_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
sut_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
benchmark_harness_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788213420	2026-08-31T21:57:00Z	citybuddy-bench-k6	4.65%	73.91MiB / 13.63GiB
1788213420	2026-08-31T21:57:00Z	citybuddy-bench-agent	75.44%	167.9MiB / 13.63GiB
1788213420	2026-08-31T21:57:00Z	citybuddy-bench-model	7.08%	38.36MiB / 13.63GiB
1788213420	2026-08-31T21:57:00Z	citybuddy-bench-auth	0.09%	231.3MiB / 13.63GiB
1788213420	2026-08-31T21:57:00Z	citybuddy-bench-commerce	0.30%	368.5MiB / 13.63GiB
1788213420	2026-08-31T21:57:00Z	citybuddy-bench-elasticsearch	128.62%	1018MiB / 13.63GiB
1788213420	2026-08-31T21:57:00Z	citybuddy-mysql-1	41.10%	1.422GiB / 13.63GiB
1788213423	2026-08-31T21:57:03Z	citybuddy-bench-k6	2.64%	77.87MiB / 13.63GiB
1788213423	2026-08-31T21:57:03Z	citybuddy-bench-agent	46.30%	168.2MiB / 13.63GiB
1788213423	2026-08-31T21:57:03Z	citybuddy-bench-model	4.42%	38.36MiB / 13.63GiB
1788213423	2026-08-31T21:57:03Z	citybuddy-bench-auth	0.08%	231.3MiB / 13.63GiB
1788213423	2026-08-31T21:57:03Z	citybuddy-bench-commerce	0.79%	368.6MiB / 13.63GiB
1788213423	2026-08-31T21:57:03Z	citybuddy-bench-elasticsearch	76.22%	1023MiB / 13.63GiB
1788213423	2026-08-31T21:57:03Z	citybuddy-mysql-1	23.74%	1.422GiB / 13.63GiB
1788213425	2026-08-31T21:57:05Z	citybuddy-bench-k6	2.53%	83.95MiB / 13.63GiB
1788213425	2026-08-31T21:57:05Z	citybuddy-bench-agent	43.30%	168.3MiB / 13.63GiB
1788213425	2026-08-31T21:57:05Z	citybuddy-bench-model	4.23%	38.36MiB / 13.63GiB
1788213425	2026-08-31T21:57:05Z	citybuddy-bench-auth	0.08%	231.3MiB / 13.63GiB
1788213425	2026-08-31T21:57:05Z	citybuddy-bench-commerce	0.15%	368.6MiB / 13.63GiB
1788213425	2026-08-31T21:57:05Z	citybuddy-bench-elasticsearch	54.38%	1.001GiB / 13.63GiB
1788213425	2026-08-31T21:57:05Z	citybuddy-mysql-1	21.93%	1.422GiB / 13.63GiB
1788213427	2026-08-31T21:57:07Z	citybuddy-bench-k6	5.05%	92.15MiB / 13.63GiB
1788213427	2026-08-31T21:57:07Z	citybuddy-bench-agent	50.94%	168.6MiB / 13.63GiB
1788213427	2026-08-31T21:57:07Z	citybuddy-bench-model	4.77%	38.36MiB / 13.63GiB
1788213427	2026-08-31T21:57:07Z	citybuddy-bench-auth	0.08%	231.3MiB / 13.63GiB
1788213427	2026-08-31T21:57:07Z	citybuddy-bench-commerce	0.13%	368.6MiB / 13.63GiB
1788213427	2026-08-31T21:57:07Z	citybuddy-bench-elasticsearch	53.91%	1.001GiB / 13.63GiB
1788213427	2026-08-31T21:57:07Z	citybuddy-mysql-1	25.52%	1.422GiB / 13.63GiB
1788213429	2026-08-31T21:57:09Z	citybuddy-bench-k6	2.88%	92.28MiB / 13.63GiB
1788213429	2026-08-31T21:57:09Z	citybuddy-bench-agent	46.71%	168.4MiB / 13.63GiB
1788213429	2026-08-31T21:57:09Z	citybuddy-bench-model	4.71%	38.36MiB / 13.63GiB
1788213429	2026-08-31T21:57:09Z	citybuddy-bench-auth	0.35%	231.3MiB / 13.63GiB
1788213429	2026-08-31T21:57:09Z	citybuddy-bench-commerce	0.12%	368.6MiB / 13.63GiB
1788213429	2026-08-31T21:57:09Z	citybuddy-bench-elasticsearch	56.61%	1.013GiB / 13.63GiB
1788213429	2026-08-31T21:57:09Z	citybuddy-mysql-1	24.13%	1.422GiB / 13.63GiB
1788213431	2026-08-31T21:57:11Z	citybuddy-bench-k6	2.50%	92.43MiB / 13.63GiB
1788213431	2026-08-31T21:57:11Z	citybuddy-bench-agent	40.84%	168.4MiB / 13.63GiB
1788213431	2026-08-31T21:57:11Z	citybuddy-bench-model	4.00%	38.35MiB / 13.63GiB
1788213431	2026-08-31T21:57:11Z	citybuddy-bench-auth	0.07%	231.3MiB / 13.63GiB
1788213431	2026-08-31T21:57:11Z	citybuddy-bench-commerce	0.17%	368.6MiB / 13.63GiB
1788213431	2026-08-31T21:57:11Z	citybuddy-bench-elasticsearch	41.86%	1.013GiB / 13.63GiB
1788213431	2026-08-31T21:57:11Z	citybuddy-mysql-1	21.34%	1.422GiB / 13.63GiB
1788213433	2026-08-31T21:57:13Z	citybuddy-bench-k6	2.46%	92.73MiB / 13.63GiB
1788213433	2026-08-31T21:57:13Z	citybuddy-bench-agent	42.12%	168.9MiB / 13.63GiB
1788213433	2026-08-31T21:57:13Z	citybuddy-bench-model	4.13%	38.61MiB / 13.63GiB
1788213433	2026-08-31T21:57:13Z	citybuddy-bench-auth	0.08%	231.3MiB / 13.63GiB
1788213433	2026-08-31T21:57:13Z	citybuddy-bench-commerce	0.43%	368.6MiB / 13.63GiB
1788213433	2026-08-31T21:57:13Z	citybuddy-bench-elasticsearch	56.04%	1.03GiB / 13.63GiB
1788213433	2026-08-31T21:57:13Z	citybuddy-mysql-1	21.78%	1.422GiB / 13.63GiB
1788213435	2026-08-31T21:57:15Z	citybuddy-bench-k6	2.57%	92.83MiB / 13.63GiB
1788213435	2026-08-31T21:57:15Z	citybuddy-bench-agent	41.22%	168.5MiB / 13.63GiB
