citybuddy_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
sut_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
benchmark_harness_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788214659	2026-08-31T22:17:39Z	citybuddy-bench-k6	16.84%	70.04MiB / 13.63GiB
1788214659	2026-08-31T22:17:39Z	citybuddy-bench-agent	65.95%	163.5MiB / 13.63GiB
1788214659	2026-08-31T22:17:39Z	citybuddy-bench-model	5.83%	38.35MiB / 13.63GiB
1788214659	2026-08-31T22:17:39Z	citybuddy-bench-auth	0.09%	237.1MiB / 13.63GiB
1788214659	2026-08-31T22:17:39Z	citybuddy-bench-commerce	0.88%	384.7MiB / 13.63GiB
1788214659	2026-08-31T22:17:39Z	citybuddy-bench-elasticsearch	111.64%	1023MiB / 13.63GiB
1788214659	2026-08-31T22:17:39Z	citybuddy-mysql-1	31.34%	1.537GiB / 13.63GiB
1788214661	2026-08-31T22:17:41Z	citybuddy-bench-k6	2.47%	77.7MiB / 13.63GiB
1788214661	2026-08-31T22:17:41Z	citybuddy-bench-agent	44.02%	163MiB / 13.63GiB
1788214661	2026-08-31T22:17:41Z	citybuddy-bench-model	4.16%	38.35MiB / 13.63GiB
1788214661	2026-08-31T22:17:41Z	citybuddy-bench-auth	0.10%	237.1MiB / 13.63GiB
1788214661	2026-08-31T22:17:41Z	citybuddy-bench-commerce	0.11%	384.7MiB / 13.63GiB
1788214661	2026-08-31T22:17:41Z	citybuddy-bench-elasticsearch	60.95%	1.003GiB / 13.63GiB
1788214661	2026-08-31T22:17:41Z	citybuddy-mysql-1	20.46%	1.537GiB / 13.63GiB
1788214663	2026-08-31T22:17:43Z	citybuddy-bench-k6	2.49%	86.03MiB / 13.63GiB
1788214663	2026-08-31T22:17:43Z	citybuddy-bench-agent	43.57%	162.9MiB / 13.63GiB
1788214663	2026-08-31T22:17:43Z	citybuddy-bench-model	4.19%	38.35MiB / 13.63GiB
1788214663	2026-08-31T22:17:43Z	citybuddy-bench-auth	0.10%	237.1MiB / 13.63GiB
1788214663	2026-08-31T22:17:43Z	citybuddy-bench-commerce	0.18%	384.7MiB / 13.63GiB
1788214663	2026-08-31T22:17:43Z	citybuddy-bench-elasticsearch	50.13%	1.004GiB / 13.63GiB
1788214663	2026-08-31T22:17:43Z	citybuddy-mysql-1	20.28%	1.537GiB / 13.63GiB
1788214665	2026-08-31T22:17:45Z	citybuddy-bench-k6	5.35%	94.36MiB / 13.63GiB
1788214665	2026-08-31T22:17:45Z	citybuddy-bench-agent	53.46%	162.6MiB / 13.63GiB
1788214665	2026-08-31T22:17:45Z	citybuddy-bench-model	5.14%	38.35MiB / 13.63GiB
