citybuddy_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
sut_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
benchmark_harness_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788202863	2026-08-31T19:01:03Z	citybuddy-bench-k6	1.79%	90.36MiB / 13.63GiB
1788202863	2026-08-31T19:01:03Z	citybuddy-bench-agent	12.21%	60.8MiB / 13.63GiB
1788202863	2026-08-31T19:01:03Z	citybuddy-bench-model	0.95%	38.38MiB / 13.63GiB
1788202863	2026-08-31T19:01:03Z	citybuddy-bench-auth	0.11%	249.1MiB / 13.63GiB
1788202863	2026-08-31T19:01:03Z	citybuddy-bench-commerce	0.17%	372.8MiB / 13.63GiB
1788202863	2026-08-31T19:01:03Z	citybuddy-bench-elasticsearch	0.44%	980.6MiB / 13.63GiB
1788202863	2026-08-31T19:01:03Z	citybuddy-mysql-1	10.52%	718.9MiB / 13.63GiB
1788202865	2026-08-31T19:01:05Z	citybuddy-bench-k6	1.32%	90.39MiB / 13.63GiB
1788202865	2026-08-31T19:01:05Z	citybuddy-bench-agent	10.35%	60.82MiB / 13.63GiB
1788202865	2026-08-31T19:01:05Z	citybuddy-bench-model	0.90%	38.38MiB / 13.63GiB
1788202865	2026-08-31T19:01:05Z	citybuddy-bench-auth	0.10%	249.1MiB / 13.63GiB
1788202865	2026-08-31T19:01:05Z	citybuddy-bench-commerce	0.16%	372.8MiB / 13.63GiB
1788202865	2026-08-31T19:01:05Z	citybuddy-bench-elasticsearch	0.37%	980.6MiB / 13.63GiB
1788202865	2026-08-31T19:01:05Z	citybuddy-mysql-1	9.16%	719MiB / 13.63GiB
1788202867	2026-08-31T19:01:07Z	citybuddy-bench-k6	1.26%	90.4MiB / 13.63GiB
1788202867	2026-08-31T19:01:07Z	citybuddy-bench-agent	9.88%	60.17MiB / 13.63GiB
1788202867	2026-08-31T19:01:07Z	citybuddy-bench-model	0.81%	38.38MiB / 13.63GiB
1788202867	2026-08-31T19:01:07Z	citybuddy-bench-auth	0.11%	249.1MiB / 13.63GiB
1788202867	2026-08-31T19:01:07Z	citybuddy-bench-commerce	0.13%	372.8MiB / 13.63GiB
1788202867	2026-08-31T19:01:07Z	citybuddy-bench-elasticsearch	0.40%	980.6MiB / 13.63GiB
1788202867	2026-08-31T19:01:07Z	citybuddy-mysql-1	8.57%	719.2MiB / 13.63GiB
1788202869	2026-08-31T19:01:09Z	citybuddy-bench-k6	1.30%	90.41MiB / 13.63GiB
1788202869	2026-08-31T19:01:09Z	citybuddy-bench-agent	11.02%	60.55MiB / 13.63GiB
1788202869	2026-08-31T19:01:09Z	citybuddy-bench-model	0.88%	38.38MiB / 13.63GiB
1788202869	2026-08-31T19:01:09Z	citybuddy-bench-auth	0.12%	249.1MiB / 13.63GiB
1788202869	2026-08-31T19:01:09Z	citybuddy-bench-commerce	0.14%	372.7MiB / 13.63GiB
1788202869	2026-08-31T19:01:09Z	citybuddy-bench-elasticsearch	0.34%	980.6MiB / 13.63GiB
1788202869	2026-08-31T19:01:09Z	citybuddy-mysql-1	10.09%	719MiB / 13.63GiB
1788202871	2026-08-31T19:01:11Z	citybuddy-bench-k6	1.26%	90.45MiB / 13.63GiB
1788202871	2026-08-31T19:01:11Z	citybuddy-bench-agent	10.53%	60.36MiB / 13.63GiB
1788202871	2026-08-31T19:01:11Z	citybuddy-bench-model	0.82%	38.38MiB / 13.63GiB
1788202871	2026-08-31T19:01:11Z	citybuddy-bench-auth	0.10%	249.1MiB / 13.63GiB
1788202871	2026-08-31T19:01:11Z	citybuddy-bench-commerce	1.08%	372.8MiB / 13.63GiB
1788202871	2026-08-31T19:01:11Z	citybuddy-bench-elasticsearch	0.40%	980.6MiB / 13.63GiB
1788202871	2026-08-31T19:01:11Z	citybuddy-mysql-1	9.63%	719.1MiB / 13.63GiB
1788202873	2026-08-31T19:01:13Z	citybuddy-bench-k6	1.43%	92.49MiB / 13.63GiB
1788202873	2026-08-31T19:01:13Z	citybuddy-bench-agent	11.54%	60.38MiB / 13.63GiB
1788202873	2026-08-31T19:01:13Z	citybuddy-bench-model	0.93%	38.38MiB / 13.63GiB
1788202873	2026-08-31T19:01:13Z	citybuddy-bench-auth	0.17%	249.1MiB / 13.63GiB
1788202873	2026-08-31T19:01:13Z	citybuddy-bench-commerce	0.13%	372.8MiB / 13.63GiB
1788202873	2026-08-31T19:01:13Z	citybuddy-bench-elasticsearch	0.37%	980.6MiB / 13.63GiB
1788202873	2026-08-31T19:01:13Z	citybuddy-mysql-1	10.04%	719.1MiB / 13.63GiB
1788202875	2026-08-31T19:01:15Z	citybuddy-bench-k6	1.25%	94.54MiB / 13.63GiB
1788202875	2026-08-31T19:01:15Z	citybuddy-bench-agent	10.13%	60.68MiB / 13.63GiB
1788202875	2026-08-31T19:01:15Z	citybuddy-bench-model	0.81%	38.38MiB / 13.63GiB
1788202875	2026-08-31T19:01:15Z	citybuddy-bench-auth	0.10%	249.1MiB / 13.63GiB
1788202875	2026-08-31T19:01:15Z	citybuddy-bench-commerce	0.27%	372.8MiB / 13.63GiB
1788202875	2026-08-31T19:01:15Z	citybuddy-bench-elasticsearch	0.34%	980.6MiB / 13.63GiB
1788202875	2026-08-31T19:01:15Z	citybuddy-mysql-1	9.17%	719.1MiB / 13.63GiB
1788202877	2026-08-31T19:01:17Z	citybuddy-bench-k6	1.28%	96.59MiB / 13.63GiB
1788202877	2026-08-31T19:01:17Z	citybuddy-bench-agent	11.25%	60.48MiB / 13.63GiB
1788202877	2026-08-31T19:01:17Z	citybuddy-bench-model	0.90%	38.38MiB / 13.63GiB
1788202877	2026-08-31T19:01:17Z	citybuddy-bench-auth	0.13%	249.1MiB / 13.63GiB
1788202877	2026-08-31T19:01:17Z	citybuddy-bench-commerce	0.15%	372.8MiB / 13.63GiB
1788202877	2026-08-31T19:01:17Z	citybuddy-bench-elasticsearch	1.18%	980.6MiB / 13.63GiB
1788202877	2026-08-31T19:01:17Z	citybuddy-mysql-1	10.49%	719.1MiB / 13.63GiB
1788202879	2026-08-31T19:01:19Z	citybuddy-bench-k6	1.28%	100.7MiB / 13.63GiB
1788202879	2026-08-31T19:01:19Z	citybuddy-bench-agent	11.20%	60.77MiB / 13.63GiB
1788202879	2026-08-31T19:01:19Z	citybuddy-bench-model	0.88%	38.38MiB / 13.63GiB
1788202879	2026-08-31T19:01:19Z	citybuddy-bench-auth	0.10%	249.1MiB / 13.63GiB
1788202879	2026-08-31T19:01:19Z	citybuddy-bench-commerce	0.13%	372.8MiB / 13.63GiB
1788202879	2026-08-31T19:01:19Z	citybuddy-bench-elasticsearch	0.38%	980.7MiB / 13.63GiB
1788202879	2026-08-31T19:01:19Z	citybuddy-mysql-1	9.97%	719.1MiB / 13.63GiB
1788202881	2026-08-31T19:01:21Z	citybuddy-bench-k6	1.21%	104.7MiB / 13.63GiB
1788202881	2026-08-31T19:01:21Z	citybuddy-bench-agent	10.56%	60.57MiB / 13.63GiB
1788202881	2026-08-31T19:01:21Z	citybuddy-bench-model	0.85%	38.38MiB / 13.63GiB
1788202881	2026-08-31T19:01:21Z	citybuddy-bench-auth	0.10%	249.1MiB / 13.63GiB
1788202881	2026-08-31T19:01:21Z	citybuddy-bench-commerce	0.14%	372.8MiB / 13.63GiB
1788202881	2026-08-31T19:01:21Z	citybuddy-bench-elasticsearch	0.35%	980.7MiB / 13.63GiB
1788202881	2026-08-31T19:01:21Z	citybuddy-mysql-1	9.50%	719.1MiB / 13.63GiB
1788202883	2026-08-31T19:01:23Z	citybuddy-bench-k6	0.46%	104.7MiB / 13.63GiB
1788202883	2026-08-31T19:01:23Z	citybuddy-bench-agent	0.21%	60.57MiB / 13.63GiB
1788202883	2026-08-31T19:01:23Z	citybuddy-bench-model	0.21%	38.38MiB / 13.63GiB
1788202883	2026-08-31T19:01:23Z	citybuddy-bench-auth	0.32%	249.1MiB / 13.63GiB
1788202883	2026-08-31T19:01:23Z	citybuddy-bench-commerce	0.23%	372.8MiB / 13.63GiB
1788202883	2026-08-31T19:01:23Z	citybuddy-bench-elasticsearch	0.69%	980.7MiB / 13.63GiB
1788202883	2026-08-31T19:01:23Z	citybuddy-mysql-1	0.78%	719.1MiB / 13.63GiB
1788202885	2026-08-31T19:01:25Z	citybuddy-bench-k6	0.90%	104.7MiB / 13.63GiB
1788202885	2026-08-31T19:01:25Z	citybuddy-bench-agent	0.84%	60.48MiB / 13.63GiB
1788202885	2026-08-31T19:01:25Z	citybuddy-bench-model	0.18%	38.38MiB / 13.63GiB
1788202885	2026-08-31T19:01:25Z	citybuddy-bench-auth	0.15%	249.1MiB / 13.63GiB
1788202885	2026-08-31T19:01:25Z	citybuddy-bench-commerce	0.41%	372.8MiB / 13.63GiB
1788202885	2026-08-31T19:01:25Z	citybuddy-bench-elasticsearch	0.64%	980.7MiB / 13.63GiB
1788202885	2026-08-31T19:01:25Z	citybuddy-mysql-1	0.37%	719.1MiB / 13.63GiB
1788202887	2026-08-31T19:01:27Z	citybuddy-bench-k6	0.32%	104.6MiB / 13.63GiB
1788202887	2026-08-31T19:01:27Z	citybuddy-bench-agent	0.15%	60.4MiB / 13.63GiB
1788202887	2026-08-31T19:01:27Z	citybuddy-bench-model	0.15%	38.38MiB / 13.63GiB
1788202887	2026-08-31T19:01:27Z	citybuddy-bench-auth	0.13%	249.1MiB / 13.63GiB
1788202887	2026-08-31T19:01:27Z	citybuddy-bench-commerce	0.19%	372.8MiB / 13.63GiB
1788202887	2026-08-31T19:01:27Z	citybuddy-bench-elasticsearch	0.70%	980.7MiB / 13.63GiB
1788202887	2026-08-31T19:01:27Z	citybuddy-mysql-1	0.32%	719.1MiB / 13.63GiB
1788202889	2026-08-31T19:01:29Z	citybuddy-bench-k6	0.40%	104.6MiB / 13.63GiB
1788202889	2026-08-31T19:01:29Z	citybuddy-bench-agent	0.18%	60.39MiB / 13.63GiB
1788202889	2026-08-31T19:01:29Z	citybuddy-bench-model	0.18%	38.38MiB / 13.63GiB
1788202889	2026-08-31T19:01:29Z	citybuddy-bench-auth	0.20%	249.1MiB / 13.63GiB
1788202889	2026-08-31T19:01:29Z	citybuddy-bench-commerce	0.21%	372.8MiB / 13.63GiB
1788202889	2026-08-31T19:01:29Z	citybuddy-bench-elasticsearch	1.02%	980.7MiB / 13.63GiB
1788202889	2026-08-31T19:01:29Z	citybuddy-mysql-1	0.39%	719.2MiB / 13.63GiB
1788202891	2026-08-31T19:01:31Z	citybuddy-bench-k6	0.45%	104.6MiB / 13.63GiB
1788202891	2026-08-31T19:01:31Z	citybuddy-bench-agent	0.19%	60.39MiB / 13.63GiB
1788202891	2026-08-31T19:01:31Z	citybuddy-bench-model	0.20%	38.38MiB / 13.63GiB
1788202891	2026-08-31T19:01:31Z	citybuddy-bench-auth	0.16%	249.1MiB / 13.63GiB
1788202891	2026-08-31T19:01:31Z	citybuddy-bench-commerce	0.22%	372.8MiB / 13.63GiB
1788202891	2026-08-31T19:01:31Z	citybuddy-bench-elasticsearch	0.63%	980.7MiB / 13.63GiB
1788202891	2026-08-31T19:01:31Z	citybuddy-mysql-1	0.37%	719.2MiB / 13.63GiB
1788202893	2026-08-31T19:01:33Z	citybuddy-bench-k6	0.27%	104.6MiB / 13.63GiB
1788202893	2026-08-31T19:01:33Z	citybuddy-bench-agent	0.13%	60.39MiB / 13.63GiB
1788202893	2026-08-31T19:01:33Z	citybuddy-bench-model	0.10%	38.38MiB / 13.63GiB
