citybuddy_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
sut_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
benchmark_harness_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788203274	2026-08-31T19:07:54Z	citybuddy-bench-k6	1.01%	71.46MiB / 13.63GiB
1788203274	2026-08-31T19:07:54Z	citybuddy-bench-agent	5.18%	59.88MiB / 13.63GiB
1788203274	2026-08-31T19:07:54Z	citybuddy-bench-model	0.50%	38.35MiB / 13.63GiB
1788203274	2026-08-31T19:07:54Z	citybuddy-bench-auth	0.15%	232.8MiB / 13.63GiB
1788203274	2026-08-31T19:07:54Z	citybuddy-bench-commerce	0.14%	415.3MiB / 13.63GiB
1788203274	2026-08-31T19:07:54Z	citybuddy-bench-elasticsearch	0.38%	976.5MiB / 13.63GiB
1788203274	2026-08-31T19:07:54Z	citybuddy-mysql-1	7.66%	772.2MiB / 13.63GiB
1788203276	2026-08-31T19:07:56Z	citybuddy-bench-k6	1.16%	73.61MiB / 13.63GiB
1788203276	2026-08-31T19:07:56Z	citybuddy-bench-agent	6.83%	60.01MiB / 13.63GiB
1788203276	2026-08-31T19:07:56Z	citybuddy-bench-model	0.58%	38.35MiB / 13.63GiB
1788203276	2026-08-31T19:07:56Z	citybuddy-bench-auth	0.09%	232.8MiB / 13.63GiB
1788203276	2026-08-31T19:07:56Z	citybuddy-bench-commerce	0.16%	415.3MiB / 13.63GiB
1788203276	2026-08-31T19:07:56Z	citybuddy-bench-elasticsearch	0.39%	976.5MiB / 13.63GiB
1788203276	2026-08-31T19:07:56Z	citybuddy-mysql-1	7.24%	772MiB / 13.63GiB
1788203278	2026-08-31T19:07:58Z	citybuddy-bench-k6	1.10%	75.7MiB / 13.63GiB
1788203278	2026-08-31T19:07:58Z	citybuddy-bench-agent	8.40%	60.07MiB / 13.63GiB
1788203278	2026-08-31T19:07:58Z	citybuddy-bench-model	0.60%	38.35MiB / 13.63GiB
1788203278	2026-08-31T19:07:58Z	citybuddy-bench-auth	0.10%	232.8MiB / 13.63GiB
1788203278	2026-08-31T19:07:58Z	citybuddy-bench-commerce	1.14%	415.4MiB / 13.63GiB
1788203278	2026-08-31T19:07:58Z	citybuddy-bench-elasticsearch	0.50%	976.6MiB / 13.63GiB
1788203278	2026-08-31T19:07:58Z	citybuddy-mysql-1	8.58%	772MiB / 13.63GiB
1788203280	2026-08-31T19:08:00Z	citybuddy-bench-k6	1.13%	78.25MiB / 13.63GiB
1788203280	2026-08-31T19:08:00Z	citybuddy-bench-agent	5.32%	58.62MiB / 13.63GiB
1788203280	2026-08-31T19:08:00Z	citybuddy-bench-model	0.48%	38.35MiB / 13.63GiB
1788203280	2026-08-31T19:08:00Z	citybuddy-bench-auth	0.13%	232.9MiB / 13.63GiB
1788203280	2026-08-31T19:08:00Z	citybuddy-bench-commerce	0.15%	415.4MiB / 13.63GiB
1788203280	2026-08-31T19:08:00Z	citybuddy-bench-elasticsearch	0.35%	976.6MiB / 13.63GiB
1788203280	2026-08-31T19:08:00Z	citybuddy-mysql-1	6.07%	772MiB / 13.63GiB
