citybuddy_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
sut_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
benchmark_harness_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788203719	2026-08-31T19:15:19Z	citybuddy-bench-k6	2.88%	90.36MiB / 13.63GiB
1788203719	2026-08-31T19:15:19Z	citybuddy-bench-agent	35.57%	60.68MiB / 13.63GiB
1788203719	2026-08-31T19:15:19Z	citybuddy-bench-model	3.62%	38.34MiB / 13.63GiB
1788203719	2026-08-31T19:15:19Z	citybuddy-bench-auth	0.08%	238.1MiB / 13.63GiB
1788203719	2026-08-31T19:15:19Z	citybuddy-bench-commerce	0.82%	388.3MiB / 13.63GiB
1788203719	2026-08-31T19:15:19Z	citybuddy-bench-elasticsearch	101.77%	1.007GiB / 13.63GiB
1788203719	2026-08-31T19:15:19Z	citybuddy-mysql-1	18.95%	808MiB / 13.63GiB
1788203721	2026-08-31T19:15:21Z	citybuddy-bench-k6	2.05%	92.43MiB / 13.63GiB
1788203721	2026-08-31T19:15:21Z	citybuddy-bench-agent	34.71%	61.21MiB / 13.63GiB
1788203721	2026-08-31T19:15:21Z	citybuddy-bench-model	3.34%	38.34MiB / 13.63GiB
1788203721	2026-08-31T19:15:21Z	citybuddy-bench-auth	0.16%	238.1MiB / 13.63GiB
1788203721	2026-08-31T19:15:21Z	citybuddy-bench-commerce	0.15%	388.3MiB / 13.63GiB
1788203721	2026-08-31T19:15:21Z	citybuddy-bench-elasticsearch	47.83%	1.01GiB / 13.63GiB
1788203721	2026-08-31T19:15:21Z	citybuddy-mysql-1	17.88%	807.8MiB / 13.63GiB
1788203723	2026-08-31T19:15:23Z	citybuddy-bench-k6	1.90%	94.5MiB / 13.63GiB
1788203723	2026-08-31T19:15:23Z	citybuddy-bench-agent	28.39%	61.18MiB / 13.63GiB
1788203723	2026-08-31T19:15:23Z	citybuddy-bench-model	2.80%	38.34MiB / 13.63GiB
1788203723	2026-08-31T19:15:23Z	citybuddy-bench-auth	0.09%	238.1MiB / 13.63GiB
1788203723	2026-08-31T19:15:23Z	citybuddy-bench-commerce	0.18%	388.3MiB / 13.63GiB
1788203723	2026-08-31T19:15:23Z	citybuddy-bench-elasticsearch	41.86%	1.016GiB / 13.63GiB
1788203723	2026-08-31T19:15:23Z	citybuddy-mysql-1	14.40%	808.1MiB / 13.63GiB
1788203725	2026-08-31T19:15:25Z	citybuddy-bench-k6	1.76%	100.6MiB / 13.63GiB
1788203725	2026-08-31T19:15:25Z	citybuddy-bench-agent	27.42%	61.79MiB / 13.63GiB
1788203725	2026-08-31T19:15:25Z	citybuddy-bench-model	2.74%	38.34MiB / 13.63GiB
1788203725	2026-08-31T19:15:25Z	citybuddy-bench-auth	0.08%	238.1MiB / 13.63GiB
1788203725	2026-08-31T19:15:25Z	citybuddy-bench-commerce	0.15%	388.3MiB / 13.63GiB
1788203725	2026-08-31T19:15:25Z	citybuddy-bench-elasticsearch	30.65%	1.019GiB / 13.63GiB
1788203725	2026-08-31T19:15:25Z	citybuddy-mysql-1	14.31%	808.4MiB / 13.63GiB
1788203727	2026-08-31T19:15:27Z	citybuddy-bench-k6	1.90%	104.7MiB / 13.63GiB
1788203727	2026-08-31T19:15:27Z	citybuddy-bench-agent	33.49%	61.09MiB / 13.63GiB
1788203727	2026-08-31T19:15:27Z	citybuddy-bench-model	3.27%	38.34MiB / 13.63GiB
1788203727	2026-08-31T19:15:27Z	citybuddy-bench-auth	0.08%	238.1MiB / 13.63GiB
1788203727	2026-08-31T19:15:27Z	citybuddy-bench-commerce	0.14%	388.3MiB / 13.63GiB
1788203727	2026-08-31T19:15:27Z	citybuddy-bench-elasticsearch	41.00%	1.019GiB / 13.63GiB
1788203727	2026-08-31T19:15:27Z	citybuddy-mysql-1	16.74%	808.2MiB / 13.63GiB
1788203729	2026-08-31T19:15:29Z	citybuddy-bench-k6	1.82%	110.9MiB / 13.63GiB
1788203729	2026-08-31T19:15:29Z	citybuddy-bench-agent	26.71%	61MiB / 13.63GiB
1788203729	2026-08-31T19:15:29Z	citybuddy-bench-model	2.57%	38.34MiB / 13.63GiB
1788203729	2026-08-31T19:15:29Z	citybuddy-bench-auth	0.07%	238.1MiB / 13.63GiB
1788203729	2026-08-31T19:15:29Z	citybuddy-bench-commerce	0.15%	388.3MiB / 13.63GiB
1788203729	2026-08-31T19:15:29Z	citybuddy-bench-elasticsearch	29.81%	1.021GiB / 13.63GiB
1788203729	2026-08-31T19:15:29Z	citybuddy-mysql-1	13.89%	808.3MiB / 13.63GiB
1788203731	2026-08-31T19:15:31Z	citybuddy-bench-k6	3.74%	115.1MiB / 13.63GiB
1788203731	2026-08-31T19:15:31Z	citybuddy-bench-agent	27.90%	61.32MiB / 13.63GiB
1788203731	2026-08-31T19:15:31Z	citybuddy-bench-model	2.79%	38.34MiB / 13.63GiB
1788203731	2026-08-31T19:15:31Z	citybuddy-bench-auth	0.12%	238.1MiB / 13.63GiB
1788203731	2026-08-31T19:15:31Z	citybuddy-bench-commerce	0.16%	388.3MiB / 13.63GiB
1788203731	2026-08-31T19:15:31Z	citybuddy-bench-elasticsearch	53.16%	1.044GiB / 13.63GiB
1788203731	2026-08-31T19:15:31Z	citybuddy-mysql-1	14.63%	808.1MiB / 13.63GiB
1788203733	2026-08-31T19:15:33Z	citybuddy-bench-k6	1.80%	115.2MiB / 13.63GiB
1788203733	2026-08-31T19:15:33Z	citybuddy-bench-agent	26.27%	61.41MiB / 13.63GiB
1788203733	2026-08-31T19:15:33Z	citybuddy-bench-model	2.57%	38.34MiB / 13.63GiB
1788203733	2026-08-31T19:15:33Z	citybuddy-bench-auth	0.10%	238.1MiB / 13.63GiB
1788203733	2026-08-31T19:15:33Z	citybuddy-bench-commerce	0.19%	388.3MiB / 13.63GiB
1788203733	2026-08-31T19:15:33Z	citybuddy-bench-elasticsearch	26.34%	1.047GiB / 13.63GiB
1788203733	2026-08-31T19:15:33Z	citybuddy-mysql-1	13.71%	808.2MiB / 13.63GiB
1788203735	2026-08-31T19:15:35Z	citybuddy-bench-k6	1.73%	115.2MiB / 13.63GiB
1788203735	2026-08-31T19:15:35Z	citybuddy-bench-agent	27.92%	62.23MiB / 13.63GiB
1788203735	2026-08-31T19:15:35Z	citybuddy-bench-model	2.60%	38.34MiB / 13.63GiB
1788203735	2026-08-31T19:15:35Z	citybuddy-bench-auth	0.07%	238.1MiB / 13.63GiB
1788203735	2026-08-31T19:15:35Z	citybuddy-bench-commerce	0.15%	388.3MiB / 13.63GiB
1788203735	2026-08-31T19:15:35Z	citybuddy-bench-elasticsearch	20.05%	1.061GiB / 13.63GiB
1788203735	2026-08-31T19:15:35Z	citybuddy-mysql-1	13.66%	808.4MiB / 13.63GiB
1788203737	2026-08-31T19:15:37Z	citybuddy-bench-k6	1.81%	115.2MiB / 13.63GiB
1788203737	2026-08-31T19:15:37Z	citybuddy-bench-agent	27.66%	62.56MiB / 13.63GiB
1788203737	2026-08-31T19:15:37Z	citybuddy-bench-model	2.70%	38.34MiB / 13.63GiB
1788203737	2026-08-31T19:15:37Z	citybuddy-bench-auth	0.09%	238.1MiB / 13.63GiB
1788203737	2026-08-31T19:15:37Z	citybuddy-bench-commerce	0.15%	388.3MiB / 13.63GiB
1788203737	2026-08-31T19:15:37Z	citybuddy-bench-elasticsearch	33.24%	1.065GiB / 13.63GiB
1788203737	2026-08-31T19:15:37Z	citybuddy-mysql-1	14.19%	808.7MiB / 13.63GiB
1788203739	2026-08-31T19:15:39Z	citybuddy-bench-k6	2.00%	115.2MiB / 13.63GiB
1788203739	2026-08-31T19:15:39Z	citybuddy-bench-agent	34.30%	62.41MiB / 13.63GiB
1788203739	2026-08-31T19:15:39Z	citybuddy-bench-model	3.41%	38.34MiB / 13.63GiB
1788203739	2026-08-31T19:15:39Z	citybuddy-bench-auth	0.09%	238.1MiB / 13.63GiB
1788203739	2026-08-31T19:15:39Z	citybuddy-bench-commerce	0.14%	388.3MiB / 13.63GiB
1788203739	2026-08-31T19:15:39Z	citybuddy-bench-elasticsearch	46.15%	1.075GiB / 13.63GiB
1788203739	2026-08-31T19:15:39Z	citybuddy-mysql-1	18.13%	808.5MiB / 13.63GiB
1788203741	2026-08-31T19:15:41Z	citybuddy-bench-k6	1.84%	115.2MiB / 13.63GiB
1788203741	2026-08-31T19:15:41Z	citybuddy-bench-agent	28.16%	62.54MiB / 13.63GiB
1788203741	2026-08-31T19:15:41Z	citybuddy-bench-model	2.70%	38.34MiB / 13.63GiB
1788203741	2026-08-31T19:15:41Z	citybuddy-bench-auth	0.12%	238.1MiB / 13.63GiB
1788203741	2026-08-31T19:15:41Z	citybuddy-bench-commerce	0.17%	388.4MiB / 13.63GiB
1788203741	2026-08-31T19:15:41Z	citybuddy-bench-elasticsearch	32.14%	1.087GiB / 13.63GiB
1788203741	2026-08-31T19:15:41Z	citybuddy-mysql-1	15.54%	808.8MiB / 13.63GiB
1788203743	2026-08-31T19:15:43Z	citybuddy-bench-k6	3.68%	115.3MiB / 13.63GiB
1788203743	2026-08-31T19:15:43Z	citybuddy-bench-agent	26.35%	62.66MiB / 13.63GiB
1788203743	2026-08-31T19:15:43Z	citybuddy-bench-model	2.59%	38.34MiB / 13.63GiB
1788203743	2026-08-31T19:15:43Z	citybuddy-bench-auth	0.08%	238.1MiB / 13.63GiB
1788203743	2026-08-31T19:15:43Z	citybuddy-bench-commerce	0.15%	388.4MiB / 13.63GiB
1788203743	2026-08-31T19:15:43Z	citybuddy-bench-elasticsearch	45.83%	1.094GiB / 13.63GiB
1788203743	2026-08-31T19:15:43Z	citybuddy-mysql-1	14.02%	808.6MiB / 13.63GiB
1788203745	2026-08-31T19:15:45Z	citybuddy-bench-k6	2.18%	115.3MiB / 13.63GiB
1788203745	2026-08-31T19:15:45Z	citybuddy-bench-agent	38.82%	62.31MiB / 13.63GiB
1788203745	2026-08-31T19:15:45Z	citybuddy-bench-model	3.69%	38.34MiB / 13.63GiB
1788203745	2026-08-31T19:15:45Z	citybuddy-bench-auth	0.08%	238.1MiB / 13.63GiB
1788203745	2026-08-31T19:15:45Z	citybuddy-bench-commerce	0.14%	388.4MiB / 13.63GiB
1788203745	2026-08-31T19:15:45Z	citybuddy-bench-elasticsearch	19.93%	1.119GiB / 13.63GiB
1788203745	2026-08-31T19:15:45Z	citybuddy-mysql-1	20.44%	808.6MiB / 13.63GiB
1788203747	2026-08-31T19:15:47Z	citybuddy-bench-k6	1.62%	115.3MiB / 13.63GiB
1788203747	2026-08-31T19:15:47Z	citybuddy-bench-agent	23.41%	62.38MiB / 13.63GiB
1788203747	2026-08-31T19:15:47Z	citybuddy-bench-model	2.25%	38.34MiB / 13.63GiB
1788203747	2026-08-31T19:15:47Z	citybuddy-bench-auth	0.12%	238.1MiB / 13.63GiB
1788203747	2026-08-31T19:15:47Z	citybuddy-bench-commerce	0.16%	388.4MiB / 13.63GiB
1788203747	2026-08-31T19:15:47Z	citybuddy-bench-elasticsearch	9.36%	1.119GiB / 13.63GiB
1788203747	2026-08-31T19:15:47Z	citybuddy-mysql-1	12.87%	808.7MiB / 13.63GiB
1788203749	2026-08-31T19:15:49Z	citybuddy-bench-k6	0.45%	115.3MiB / 13.63GiB
1788203749	2026-08-31T19:15:49Z	citybuddy-bench-agent	0.26%	62.38MiB / 13.63GiB
1788203749	2026-08-31T19:15:49Z	citybuddy-bench-model	0.22%	38.34MiB / 13.63GiB
1788203749	2026-08-31T19:15:49Z	citybuddy-bench-auth	0.27%	238.1MiB / 13.63GiB
1788203749	2026-08-31T19:15:49Z	citybuddy-bench-commerce	2.21%	388.5MiB / 13.63GiB
1788203749	2026-08-31T19:15:49Z	citybuddy-bench-elasticsearch	0.66%	1.119GiB / 13.63GiB
1788203749	2026-08-31T19:15:49Z	citybuddy-mysql-1	0.50%	808.7MiB / 13.63GiB
1788203751	2026-08-31T19:15:51Z	citybuddy-bench-k6	0.91%	115.2MiB / 13.63GiB
1788203751	2026-08-31T19:15:51Z	citybuddy-bench-agent	1.04%	62.22MiB / 13.63GiB
1788203751	2026-08-31T19:15:51Z	citybuddy-bench-model	0.16%	38.34MiB / 13.63GiB
1788203751	2026-08-31T19:15:51Z	citybuddy-bench-auth	0.31%	238.2MiB / 13.63GiB
1788203751	2026-08-31T19:15:51Z	citybuddy-bench-commerce	0.27%	388.6MiB / 13.63GiB
1788203751	2026-08-31T19:15:51Z	citybuddy-bench-elasticsearch	0.48%	1.119GiB / 13.63GiB
1788203751	2026-08-31T19:15:51Z	citybuddy-mysql-1	0.80%	808.7MiB / 13.63GiB
1788203753	2026-08-31T19:15:53Z	citybuddy-bench-k6	0.44%	115MiB / 13.63GiB
1788203753	2026-08-31T19:15:53Z	citybuddy-bench-agent	0.21%	62.09MiB / 13.63GiB
1788203753	2026-08-31T19:15:53Z	citybuddy-bench-model	0.23%	38.33MiB / 13.63GiB
1788203753	2026-08-31T19:15:53Z	citybuddy-bench-auth	0.15%	238.2MiB / 13.63GiB
1788203753	2026-08-31T19:15:53Z	citybuddy-bench-commerce	0.55%	388.6MiB / 13.63GiB
1788203753	2026-08-31T19:15:53Z	citybuddy-bench-elasticsearch	0.74%	1.119GiB / 13.63GiB
1788203753	2026-08-31T19:15:53Z	citybuddy-mysql-1	0.53%	808.7MiB / 13.63GiB
1788203755	2026-08-31T19:15:55Z	citybuddy-bench-k6	0.46%	115MiB / 13.63GiB
1788203755	2026-08-31T19:15:55Z	citybuddy-bench-agent	0.20%	62.09MiB / 13.63GiB
1788203755	2026-08-31T19:15:55Z	citybuddy-bench-model	0.23%	38.33MiB / 13.63GiB
1788203755	2026-08-31T19:15:55Z	citybuddy-bench-auth	0.38%	238.2MiB / 13.63GiB
1788203755	2026-08-31T19:15:55Z	citybuddy-bench-commerce	0.45%	388.6MiB / 13.63GiB
1788203755	2026-08-31T19:15:55Z	citybuddy-bench-elasticsearch	0.59%	1.119GiB / 13.63GiB
1788203755	2026-08-31T19:15:55Z	citybuddy-mysql-1	0.69%	808.9MiB / 13.63GiB
1788203757	2026-08-31T19:15:57Z	citybuddy-bench-k6	0.43%	115MiB / 13.63GiB
1788203757	2026-08-31T19:15:57Z	citybuddy-bench-agent	0.13%	62.09MiB / 13.63GiB
1788203757	2026-08-31T19:15:57Z	citybuddy-bench-model	0.15%	38.33MiB / 13.63GiB
1788203757	2026-08-31T19:15:57Z	citybuddy-bench-auth	0.10%	238.2MiB / 13.63GiB
1788203757	2026-08-31T19:15:57Z	citybuddy-bench-commerce	0.35%	388.6MiB / 13.63GiB
1788203757	2026-08-31T19:15:57Z	citybuddy-bench-elasticsearch	0.53%	1.119GiB / 13.63GiB
1788203757	2026-08-31T19:15:57Z	citybuddy-mysql-1	0.41%	808.7MiB / 13.63GiB
1788203759	2026-08-31T19:15:59Z	citybuddy-bench-k6	0.45%	115MiB / 13.63GiB
1788203759	2026-08-31T19:15:59Z	citybuddy-bench-agent	0.21%	62.09MiB / 13.63GiB
1788203759	2026-08-31T19:15:59Z	citybuddy-bench-model	0.26%	38.33MiB / 13.63GiB
1788203759	2026-08-31T19:15:59Z	citybuddy-bench-auth	0.17%	238.2MiB / 13.63GiB
1788203759	2026-08-31T19:15:59Z	citybuddy-bench-commerce	1.18%	388.6MiB / 13.63GiB
1788203759	2026-08-31T19:15:59Z	citybuddy-bench-elasticsearch	0.67%	1.119GiB / 13.63GiB
1788203759	2026-08-31T19:15:59Z	citybuddy-mysql-1	0.48%	808.7MiB / 13.63GiB
1788203761	2026-08-31T19:16:01Z	citybuddy-bench-k6	0.43%	115MiB / 13.63GiB
1788203761	2026-08-31T19:16:01Z	citybuddy-bench-agent	0.21%	62.06MiB / 13.63GiB
1788203761	2026-08-31T19:16:01Z	citybuddy-bench-model	0.21%	38.33MiB / 13.63GiB
1788203761	2026-08-31T19:16:01Z	citybuddy-bench-auth	0.51%	238.2MiB / 13.63GiB
1788203761	2026-08-31T19:16:01Z	citybuddy-bench-commerce	0.24%	388.6MiB / 13.63GiB
1788203761	2026-08-31T19:16:01Z	citybuddy-bench-elasticsearch	0.57%	1.119GiB / 13.63GiB
1788203761	2026-08-31T19:16:01Z	citybuddy-mysql-1	0.43%	808.7MiB / 13.63GiB
1788203763	2026-08-31T19:16:03Z	citybuddy-bench-k6	0.29%	115MiB / 13.63GiB
1788203763	2026-08-31T19:16:03Z	citybuddy-bench-agent	0.12%	62.06MiB / 13.63GiB
1788203763	2026-08-31T19:16:03Z	citybuddy-bench-model	0.13%	38.33MiB / 13.63GiB
1788203763	2026-08-31T19:16:03Z	citybuddy-bench-auth	0.11%	238.2MiB / 13.63GiB
1788203763	2026-08-31T19:16:03Z	citybuddy-bench-commerce	0.30%	388.6MiB / 13.63GiB
1788203763	2026-08-31T19:16:03Z	citybuddy-bench-elasticsearch	1.66%	1.119GiB / 13.63GiB
1788203763	2026-08-31T19:16:03Z	citybuddy-mysql-1	0.30%	808.7MiB / 13.63GiB
1788203765	2026-08-31T19:16:05Z	citybuddy-bench-k6	0.30%	115MiB / 13.63GiB
1788203765	2026-08-31T19:16:05Z	citybuddy-bench-agent	0.16%	62.06MiB / 13.63GiB
1788203765	2026-08-31T19:16:05Z	citybuddy-bench-model	0.13%	38.33MiB / 13.63GiB
1788203765	2026-08-31T19:16:05Z	citybuddy-bench-auth	0.52%	238.2MiB / 13.63GiB
1788203765	2026-08-31T19:16:05Z	citybuddy-bench-commerce	0.28%	388.6MiB / 13.63GiB
1788203765	2026-08-31T19:16:05Z	citybuddy-bench-elasticsearch	0.78%	1.119GiB / 13.63GiB
1788203765	2026-08-31T19:16:05Z	citybuddy-mysql-1	0.42%	808.7MiB / 13.63GiB
1788203767	2026-08-31T19:16:07Z	citybuddy-bench-k6	0.36%	115MiB / 13.63GiB
1788203767	2026-08-31T19:16:07Z	citybuddy-bench-agent	0.20%	61.97MiB / 13.63GiB
1788203767	2026-08-31T19:16:07Z	citybuddy-bench-model	0.17%	38.33MiB / 13.63GiB
1788203767	2026-08-31T19:16:07Z	citybuddy-bench-auth	0.41%	238.2MiB / 13.63GiB
