citybuddy_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
sut_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
benchmark_harness_commit=cdbe1cbd40d6463270aa5652151f8330bc38773f
columns=epoch_utc	timestamp_utc	container	cpu_percent	memory_usage
1788204180	2026-08-31T19:23:00Z	citybuddy-bench-k6	0.48%	38.4MiB / 13.63GiB
1788204180	2026-08-31T19:23:00Z	citybuddy-bench-agent	3.33%	60.06MiB / 13.63GiB
1788204180	2026-08-31T19:23:00Z	citybuddy-bench-model	0.24%	38.36MiB / 13.63GiB
1788204180	2026-08-31T19:23:00Z	citybuddy-bench-auth	119.28%	228.8MiB / 13.63GiB
1788204180	2026-08-31T19:23:00Z	citybuddy-bench-commerce	1.65%	370.7MiB / 13.63GiB
1788204180	2026-08-31T19:23:00Z	citybuddy-bench-elasticsearch	0.28%	976.8MiB / 13.63GiB
1788204180	2026-08-31T19:23:00Z	citybuddy-mysql-1	3.44%	908.9MiB / 13.63GiB
1788204182	2026-08-31T19:23:02Z	citybuddy-bench-k6	0.43%	38.44MiB / 13.63GiB
1788204182	2026-08-31T19:23:02Z	citybuddy-bench-agent	3.18%	60.1MiB / 13.63GiB
1788204182	2026-08-31T19:23:02Z	citybuddy-bench-model	0.25%	38.36MiB / 13.63GiB
1788204182	2026-08-31T19:23:02Z	citybuddy-bench-auth	121.14%	229.1MiB / 13.63GiB
1788204182	2026-08-31T19:23:02Z	citybuddy-bench-commerce	2.82%	370.7MiB / 13.63GiB
1788204182	2026-08-31T19:23:02Z	citybuddy-bench-elasticsearch	0.26%	976.8MiB / 13.63GiB
1788204182	2026-08-31T19:23:02Z	citybuddy-mysql-1	4.74%	908.8MiB / 13.63GiB
1788204184	2026-08-31T19:23:04Z	citybuddy-bench-k6	0.43%	38.48MiB / 13.63GiB
1788204184	2026-08-31T19:23:04Z	citybuddy-bench-agent	3.07%	58.72MiB / 13.63GiB
1788204184	2026-08-31T19:23:04Z	citybuddy-bench-model	0.21%	38.36MiB / 13.63GiB
1788204184	2026-08-31T19:23:04Z	citybuddy-bench-auth	116.64%	229.2MiB / 13.63GiB
1788204184	2026-08-31T19:23:04Z	citybuddy-bench-commerce	2.26%	370.7MiB / 13.63GiB
1788204184	2026-08-31T19:23:04Z	citybuddy-bench-elasticsearch	0.26%	976.8MiB / 13.63GiB
1788204184	2026-08-31T19:23:04Z	citybuddy-mysql-1	4.44%	908.8MiB / 13.63GiB
1788204186	2026-08-31T19:23:06Z	citybuddy-bench-k6	0.48%	38.51MiB / 13.63GiB
1788204186	2026-08-31T19:23:06Z	citybuddy-bench-agent	3.48%	58.75MiB / 13.63GiB
1788204186	2026-08-31T19:23:06Z	citybuddy-bench-model	0.23%	38.36MiB / 13.63GiB
1788204186	2026-08-31T19:23:06Z	citybuddy-bench-auth	120.50%	229.4MiB / 13.63GiB
1788204186	2026-08-31T19:23:06Z	citybuddy-bench-commerce	1.52%	370.7MiB / 13.63GiB
1788204186	2026-08-31T19:23:06Z	citybuddy-bench-elasticsearch	0.26%	976.8MiB / 13.63GiB
1788204186	2026-08-31T19:23:06Z	citybuddy-mysql-1	5.00%	908.8MiB / 13.63GiB
1788204188	2026-08-31T19:23:08Z	citybuddy-bench-k6	0.41%	38.52MiB / 13.63GiB
1788204188	2026-08-31T19:23:08Z	citybuddy-bench-agent	2.80%	58.77MiB / 13.63GiB
1788204188	2026-08-31T19:23:08Z	citybuddy-bench-model	0.21%	38.36MiB / 13.63GiB
1788204188	2026-08-31T19:23:08Z	citybuddy-bench-auth	116.57%	229.4MiB / 13.63GiB
1788204188	2026-08-31T19:23:08Z	citybuddy-bench-commerce	1.19%	370.7MiB / 13.63GiB
1788204188	2026-08-31T19:23:08Z	citybuddy-bench-elasticsearch	0.23%	976.8MiB / 13.63GiB
1788204188	2026-08-31T19:23:08Z	citybuddy-mysql-1	4.20%	908.8MiB / 13.63GiB
1788204190	2026-08-31T19:23:10Z	citybuddy-bench-k6	0.41%	40.54MiB / 13.63GiB
1788204190	2026-08-31T19:23:10Z	citybuddy-bench-agent	2.83%	58.78MiB / 13.63GiB
1788204190	2026-08-31T19:23:10Z	citybuddy-bench-model	0.21%	38.36MiB / 13.63GiB
1788204190	2026-08-31T19:23:10Z	citybuddy-bench-auth	117.04%	232.5MiB / 13.63GiB
1788204190	2026-08-31T19:23:10Z	citybuddy-bench-commerce	1.67%	370.8MiB / 13.63GiB
1788204190	2026-08-31T19:23:10Z	citybuddy-bench-elasticsearch	0.38%	976.8MiB / 13.63GiB
1788204190	2026-08-31T19:23:10Z	citybuddy-mysql-1	4.28%	908.8MiB / 13.63GiB
