citybuddy_commit=4f40cd2f0159b4c4118b9b3724235a0b3ddbd390
setup_window_utc=2026-09-02T12:28:55Z/2026-09-02T12:29:39Z
run_started_at_utc=2026-09-02T12:32:42Z
label=seckill_s1_4f40cd2_20260902T122838Z_spread activities=32 rates=50,100,200,400,800 step_seconds=15 gap_seconds=5 nominal_iterations=23250
fixture_users=25000 fixture_activities=32 fixture_quota=1000000 fixture_stock=2000000 topic_suffix=s1-spread-4f40cd2-20260902T122838Z
docker_cpus=8 docker_memory_bytes=14638391296 commerce_cpu_limit=4
k6_image=grafana/k6@sha256:5221b620a4f874faff6e32ba597aa667c058391fe4898b1c6f6377f062c6cdec

12:32:43 citybuddy-bench-k6 cpu=3.83% mem=234.9MiB / 13.63GiB
12:32:43 citybuddy-bench-commerce cpu=77.87% mem=346.6MiB / 13.63GiB
12:32:43 citybuddy-mysql-1 cpu=10.23% mem=914.3MiB / 13.63GiB
12:32:43 citybuddy-redis-commerce-1 cpu=0.51% mem=60.36MiB / 13.63GiB
12:32:48 citybuddy-bench-k6 cpu=3.07% mem=243.1MiB / 13.63GiB
12:32:48 citybuddy-bench-commerce cpu=38.60% mem=354.7MiB / 13.63GiB
12:32:48 citybuddy-mysql-1 cpu=9.11% mem=914.4MiB / 13.63GiB
12:32:48 citybuddy-redis-commerce-1 cpu=0.62% mem=60.36MiB / 13.63GiB
12:32:53 citybuddy-bench-k6 cpu=3.41% mem=263.6MiB / 13.63GiB
12:32:53 citybuddy-bench-commerce cpu=32.32% mem=357.5MiB / 13.63GiB
12:32:53 citybuddy-mysql-1 cpu=8.85% mem=914.4MiB / 13.63GiB
12:32:53 citybuddy-redis-commerce-1 cpu=0.65% mem=60.34MiB / 13.63GiB
12:32:58 citybuddy-bench-k6 cpu=0.41% mem=278MiB / 13.63GiB
12:32:58 citybuddy-bench-commerce cpu=3.40% mem=366.3MiB / 13.63GiB
12:32:58 citybuddy-mysql-1 cpu=4.10% mem=914.4MiB / 13.63GiB
12:32:58 citybuddy-redis-commerce-1 cpu=0.20% mem=60.33MiB / 13.63GiB
12:33:03 citybuddy-bench-k6 cpu=5.35% mem=300.9MiB / 13.63GiB
12:33:03 citybuddy-bench-commerce cpu=45.35% mem=372MiB / 13.63GiB
12:33:03 citybuddy-mysql-1 cpu=11.56% mem=914.7MiB / 13.63GiB
12:33:03 citybuddy-redis-commerce-1 cpu=1.09% mem=60.34MiB / 13.63GiB
12:33:08 citybuddy-bench-k6 cpu=5.47% mem=317.8MiB / 13.63GiB
12:33:08 citybuddy-bench-commerce cpu=40.94% mem=381.6MiB / 13.63GiB
12:33:08 citybuddy-mysql-1 cpu=12.98% mem=914.4MiB / 13.63GiB
12:33:08 citybuddy-redis-commerce-1 cpu=11.43% mem=60.34MiB / 13.63GiB
